Date,Prev Close,Open,High,Low,Close,Volume
11/27/2007,440,770,1050,770,962.9,27294366
11/28/2007,962.9,984,990,874,893.9,4581338
11/29/2007,893.9,909,914.75,841,884.2,5124121
11/30/2007,884.2,890,958,890,921.55,4609762
12/3/2007,921.55,939.75,995,922,969.3,2977470
12/4/2007,969.3,985,1056,976,1041.45,4849250
12/5/2007,1041.45,1061,1099.5,1050,1082.45,2848209
12/6/2007,1082.45,1089,1109.7,1051,1081.3,1749516
12/7/2007,1081.3,1100,1134,1078,1102.4,2247904
12/10/2007,1102.4,1110,1110,1061.1,1075.4,1012350
12/11/2007,1075.4,1081,1089,1041,1047.65,810464
12/12/2007,1047.65,1032,1065,1016,1036.8,744799
12/13/2007,1036.8,1040,1150,1030.25,1129.95,3067687
12/14/2007,1129.95,1139.9,1140,1101.1,1110.5,1070737
12/17/2007,1110.5,1140,1168,1021.5,1044.25,1404955
12/18/2007,1044.25,1045,1109.9,1031.55,1074.95,1226984
12/19/2007,1074.95,1091,1116,1046.3,1066.9,845666
12/20/2007,1066.9,1083.5,1083.5,1051,1060.2,623288
12/24/2007,1060.2,1095,1192,1085.25,1156.8,2060892
12/26/2007,1156.8,1175,1214,1148,1199.9,1467031
12/27/2007,1199.9,1215,1240,1204,1211.65,977495
12/28/2007,1211.65,1189.4,1274,1175,1249.1,1164138
12/31/2007,1249.1,1263.35,1295,1261,1268.8,737249
1/1/2008,1268.8,1279,1319,1263.7,1296.85,491348
1/2/2008,1296.85,1310.25,1324,1270,1307.45,703815
1/3/2008,1307.45,1305,1314.7,1261.15,1275.8,505058
1/4/2008,1275.8,1278.8,1294.8,1233,1240.35,550795
1/7/2008,1240.35,1240,1278.9,1215,1227.25,630963
1/8/2008,1227.25,1240,1255,1185,1204.8,530499
1/9/2008,1204.8,1200,1210,1151,1180.25,627507
1/10/2008,1180.25,1185,1199.8,1110,1121.55,438806
1/11/2008,1121.55,1128,1130,1063,1085.85,616938
1/14/2008,1085.85,1082.4,1082.4,1031.1,1035.15,835916
1/15/2008,1035.15,1045.6,1078.7,1036.05,1049.55,830493
1/16/2008,1049.55,1046,1064,1000,1030.4,816188
1/17/2008,1030.4,1050,1053.5,1011,1020.9,336003
1/18/2008,1020.9,1010,1072,974.9,994.6,676854
1/21/2008,994.6,995,1005,795.7,825.05,788623
1/22/2008,825.05,700,810,660.05,735.55,546161
1/23/2008,735.55,760,881.9,760,857,535462
1/24/2008,857,875,935,812,814.15,511017
1/25/2008,814.15,820,883,820,865.7,404045
1/28/2008,865.7,835,835,783.2,820.8,467052
1/29/2008,820.8,840,860,820.05,840.75,220070
1/30/2008,840.75,849.8,864,822.25,830.45,286190
1/31/2008,830.45,831,849.9,812.55,837.65,194300
2/1/2008,837.65,831.65,852.3,820,825.35,204391
2/4/2008,825.35,847.9,872.4,840,856.1,280230
2/5/2008,856.1,856,857,830,834.3,162093
2/6/2008,834.3,803,824.9,780,807.5,193260
2/7/2008,807.5,825,830,792,796.25,212932
2/8/2008,796.25,810,830,765.15,784.05,285025
2/11/2008,784.05,785,785,695,711.2,223955
2/12/2008,711.2,725,734.95,655.6,681.3,303409
2/13/2008,681.3,815.9,815.9,664,670.95,214900
2/14/2008,670.95,680,714,680,709.8,269032
2/15/2008,709.8,700,763.7,681.25,728.75,353049
2/18/2008,728.75,735,775,735,771.6,342580
2/19/2008,771.6,779,786.9,760.2,763.9,137412
2/20/2008,763.9,750,760,720,732.1,197489
2/21/2008,732.1,762,762,730.1,737.6,125558
2/22/2008,737.6,723,737,715,724,81070
2/25/2008,724,725.05,758.9,702.3,707.65,152803
2/26/2008,707.65,725,744,713,735.8,251269
2/27/2008,735.8,749.7,783.4,741,746.4,305320
2/28/2008,746.4,740,754.9,725.05,737.75,112491
2/29/2008,737.75,738,761,725.4,735.65,203872
3/3/2008,735.65,725,725,692.3,699.25,182510
3/4/2008,699.25,705,708.95,642,669.25,400996
3/5/2008,669.25,668,672,636,640.9,263263
3/7/2008,640.9,630,630,577,609.75,452949
3/10/2008,609.75,600,610,508.15,601.15,235966
3/11/2008,601.15,593,635.75,575,623.7,226830
3/12/2008,623.7,640,649.95,591,602.9,210739
3/13/2008,602.9,585,600,562.05,566.3,165515
3/14/2008,566.3,569,577,554.05,561,157189
3/17/2008,561,549,549,507,511.45,201577
3/18/2008,511.45,505,525,490,502.4,257617
3/19/2008,502.4,530,530,495,497.75,196021
3/24/2008,497.75,502,505.9,465,469.2,542915
3/25/2008,469.2,475,505,465.05,497.15,746747
3/26/2008,497.15,502,522,490.25,504.05,278415
3/27/2008,504.05,496.1,521,486,516,359725
3/28/2008,516,515,619.2,515,619.2,1546339
3/31/2008,619.2,625,673.4,570,578.75,2134980
4/1/2008,578.75,585,617,584.75,592.2,728839
4/2/2008,592.2,623.8,633.4,601,608.35,867551
4/3/2008,608.35,611,621.4,592.1,602.3,780026
4/4/2008,602.3,614,614,585,593.2,386898
4/7/2008,593.2,595,605.3,570,593.4,466172
4/8/2008,593.4,625,625,585.1,589.65,217730
4/9/2008,589.65,580.5,623,575.15,597.75,507422
4/10/2008,597.75,615,615,586,608.6,495019
4/11/2008,608.6,610,620,605,610.2,301522
4/15/2008,610.2,605,650,600,642.55,732463
4/16/2008,642.55,657,662,632,637.4,440549
4/17/2008,637.4,648.8,659.4,621.05,626.35,442496
4/21/2008,626.35,640,654.95,633.1,645.15,257175
4/22/2008,645.15,640,673.4,638.15,665.85,574697
4/23/2008,665.85,675,677.9,652.4,666.7,362552
4/24/2008,666.7,668,677.85,658.1,665.25,255828
4/25/2008,665.25,670,718,659.1,712.15,1510614
4/28/2008,712.15,725,741.1,703,736.45,1072156
4/29/2008,736.45,738.25,748,711.1,740.6,600573
4/30/2008,740.6,740,774,715,760.15,731082
5/2/2008,760.15,766.25,788,763.65,766.65,607475
5/5/2008,766.65,681.7,781.7,681.7,754.4,248543
5/6/2008,754.4,730,767.9,725.1,757.9,418643
5/7/2008,757.9,762,774.5,745,768.5,295381
5/8/2008,768.5,760,785,752,781.5,422630
5/9/2008,781.5,770.45,803.75,770,783.75,657740
5/12/2008,783.75,719.2,814.8,719.2,807.55,1245745
5/13/2008,807.55,818.4,827.5,786.15,792.85,469124
5/14/2008,792.85,790,802.25,782,789.2,168459
5/15/2008,789.2,795,808.9,785,790.85,139664
5/16/2008,790.85,795,800,771.2,775.6,184836
5/20/2008,775.6,776,904.7,770,884.05,3561137
5/21/2008,884.05,894.55,926,869.8,901.35,2516620
5/22/2008,901.35,897.8,914.95,868.05,884.4,1339876
5/23/2008,884.4,890,904,846,853.65,691813
5/26/2008,853.65,848.45,905.4,829,887.45,1011808
5/27/2008,887.45,909.9,926,860.4,873.05,1280280
5/28/2008,873.05,873,883,835,841,617676
5/29/2008,841,851.15,867.9,829.15,834.85,447906
5/30/2008,834.85,843.1,847.7,760,790.4,851156
6/2/2008,790.4,795.5,827,760.05,765.8,849170
6/3/2008,765.8,741,769.9,733.35,739.4,532850
6/4/2008,739.4,742,755.7,692.25,702.2,383088
6/5/2008,702.2,701,708.9,635.1,657.55,715963
6/6/2008,657.55,669.9,681.25,635,639.6,568394
6/9/2008,639.6,620,626,591.3,612.6,461334
6/10/2008,612.6,599.2,618.85,580,589.25,517227
6/11/2008,589.25,598,631.4,595.2,607.1,768360
6/12/2008,607.1,597.9,604.4,570,593.5,506097
6/13/2008,593.5,593.5,614.9,592.2,600.3,511556
6/16/2008,600.3,610,639.8,606.05,620.9,962136
6/17/2008,620.9,621,634.75,612,630.6,346842
6/18/2008,630.6,630.6,659,625.2,628.9,694398
6/19/2008,628.9,618,654,611.55,649.15,749162
6/20/2008,649.15,653.85,660.9,620,624.25,716333
6/23/2008,624.25,620,620,562.05,571.05,839833
6/24/2008,571.05,573.55,590,563.95,568.7,673358
6/25/2008,568.7,560,563,541.1,549.7,652878
6/26/2008,549.7,586,586,525,528.45,658769
6/27/2008,528.45,505,513.85,488.35,496,680667
6/30/2008,496,496,510.1,488.8,494.15,382763
7/1/2008,494.15,500,505,475,478.15,265866
7/2/2008,478.15,439,509.95,388.1,481.3,1975470
7/3/2008,481.3,471,472,424,443.35,1008223
7/4/2008,443.35,449,459.9,433.1,450.4,531265
7/7/2008,450.4,455.5,494,455.5,467.35,544362
7/8/2008,467.35,457,478.9,425,459.45,597851
7/9/2008,459.45,479,551.35,471,551.35,2351043
7/10/2008,551.35,560,602.95,560,567.75,3422840
7/11/2008,567.75,570,580,538.15,546.35,937650
7/14/2008,546.35,540,572,528.35,534.9,1110512
7/15/2008,534.9,530,531,485,488,832634
7/16/2008,488,475,506,470.1,478.2,739517
7/17/2008,478.2,499,505,463,478.75,601137
7/18/2008,478.75,485,493.4,461,467.4,861368
7/21/2008,467.4,470,488.8,460,476.35,682113
7/22/2008,476.35,485,525.9,475,516.45,1505465
7/23/2008,516.45,539.95,568.8,539.95,553.55,889636
7/24/2008,553.55,563.3,593,555.05,584.6,1134530
7/25/2008,584.6,575,610.9,551.15,587.8,1464874
7/28/2008,587.8,580,606.95,580,588.45,746465
7/29/2008,588.45,580,617,540.1,554.7,2243341
7/30/2008,554.7,570,585,555.05,563.9,1003847
7/31/2008,563.9,571,585,565,578,715753
8/1/2008,578,570,584,555.55,576.25,658570
8/4/2008,576.25,576,597.9,571.15,585.05,527239
8/5/2008,585.05,585.05,600,580,587,522809
8/6/2008,587,600.5,605.4,570,576.65,494133
8/7/2008,576.65,576.65,590,571.3,573.75,510311
8/8/2008,573.75,570,590.7,565,581.55,565925
8/11/2008,581.55,590,602,584.25,591,505730
8/12/2008,591,592,633.5,591.05,626.5,2196252
8/13/2008,626.5,620,637,607,614.75,823967
