Date,Prev Close,Open,High,Low,Close,Volume
5/26/2008,2101.05,600,619,501,509.1,3145446
5/27/2008,509.1,505,610.95,491.1,554.65,4349144
5/28/2008,554.65,564,665.6,564,640.95,4588759
5/29/2008,640.95,656.65,703,608,632.4,4522302
5/30/2008,632.4,642.4,668,588.3,644,3057669
6/2/2008,644,650,699,622,686.95,2247399
6/3/2008,686.95,672,689.8,632.55,672.05,2299383
6/4/2008,672.05,674,674,566.6,598.95,2832725
6/5/2008,598.95,603,639.8,572.3,631.85,1344712
6/6/2008,631.85,639.25,642.9,608.05,630.9,794722
6/9/2008,630.9,620,648,580,629.9,758393
6/10/2008,629.9,618,675,618,669.25,939180
6/11/2008,669.25,672,682,641.1,653.5,750714
6/12/2008,653.5,629,638.45,601,605.9,414320
6/13/2008,605.9,607,624.5,572.75,580.8,458514
6/16/2008,580.8,595,618,587.25,614.05,496439
6/17/2008,614.05,610,626,605.1,611.05,248850
6/18/2008,611.05,615,617.2,585.1,591.95,142386
6/19/2008,591.95,580,625,578.05,611.85,468038
6/20/2008,611.85,603,618.25,532,554.95,289352
6/23/2008,554.95,551,575.9,550,565.4,514992
6/24/2008,565.4,565.5,572,537,549.15,294467
6/25/2008,549.15,542,632.5,540,577.1,124264
6/26/2008,577.1,578,600,578,590.25,134458
6/27/2008,590.25,585,585,550,562,170967
6/30/2008,562,565,570,520,537.85,105379
7/1/2008,537.85,535,536.9,502.65,517.75,86030
7/2/2008,517.75,511,530,495,522.55,225316
7/3/2008,522.55,495.2,513.85,446,478.5,291484
7/4/2008,478.5,471.35,500,447,499.7,98707
7/7/2008,499.7,494.65,544,494.65,521.8,422193
7/8/2008,521.8,475.8,518,475.8,510.95,236281
7/9/2008,510.95,550,550,512,518.05,91041
7/10/2008,518.05,515,519.85,500,506.8,83723
7/11/2008,506.8,519.9,520,466.65,478.95,45764
7/14/2008,478.95,498,498,455,461.9,79049
7/15/2008,461.9,447,463,436.05,448.5,52550
7/16/2008,448.5,440,451.95,417.5,424.95,269364
7/17/2008,424.95,439,439,415.1,421.75,391481
7/18/2008,421.75,405.35,428,388.05,410.7,166930
7/21/2008,410.7,411,421.6,408.1,410.7,109056
7/22/2008,410.7,402.35,424.95,402.35,420,125018
7/23/2008,420,433,449.95,428.05,437.85,524250
7/24/2008,437.85,439,480.5,439,451.4,146863
7/25/2008,451.4,436,455,436,446.25,39059
7/28/2008,446.25,437,452,432.05,436.05,15178
7/29/2008,436.05,435,435,426,429.85,53978
7/30/2008,429.85,408.4,442.5,408.4,437.55,14333
7/31/2008,437.55,429,447,429,442.65,13873
8/1/2008,442.65,430,449.9,423,443,23610
8/4/2008,443,431.25,454.95,431.25,452.65,12186
8/5/2008,452.65,452.65,475,438,467.9,15674
8/6/2008,467.9,465,497,465,482.2,46278
8/7/2008,482.2,495,535,470.15,515.3,127300
8/8/2008,515.3,510,530,505,517.5,40717
8/11/2008,517.5,535,592,528,540.5,235630
8/12/2008,540.5,550,550,512.5,523.7,54384
8/13/2008,523.7,518.75,555,510,544.1,77028
8/14/2008,544.1,535,549.45,525,528.95,27675
8/18/2008,528.95,504,528,504,519.15,52577
8/19/2008,519.15,502,549.9,502,540.7,181658
8/20/2008,540.7,551.1,551.1,523.1,531.65,29888
8/21/2008,531.65,516.5,546,516.5,528.1,27053
8/22/2008,528.1,524,529.7,517.5,522.4,24210
8/25/2008,522.4,530,540.95,521,529.8,30557
8/26/2008,529.8,520.15,547.95,520.15,527.6,48975
8/27/2008,527.6,553.95,553.95,512,519.7,44049
8/28/2008,519.7,510.5,550,510.5,544.25,69852
8/29/2008,544.25,550,558,532.4,537.3,49228
9/1/2008,537.3,532.4,545,530,534.15,9667
9/2/2008,534.15,535,542.6,533.35,536.1,18033
9/4/2008,536.1,530,538.8,521.1,526.2,33867
9/5/2008,526.2,520.1,544,520,524.95,34115
9/8/2008,524.95,545,545,518,521.85,38680
9/9/2008,521.85,520,528,515.5,522.2,72156
9/10/2008,522.2,512,539.8,505,520.55,68972
9/11/2008,520.55,520,523,473,479.1,47512
9/12/2008,479.1,481,489,453.1,469.3,23704
9/15/2008,469.3,450,454.85,409.5,443.1,17263
9/16/2008,443.1,420.95,420.95,388.05,403.2,280801
9/17/2008,403.2,405,423.85,391.55,402.15,56180
9/18/2008,402.15,395,395,351,373.25,41952
9/19/2008,373.25,389.95,389.95,362.4,374.75,142879
9/22/2008,374.75,375,393.5,375,390.1,87283
9/23/2008,390.1,376,386.65,376,383.95,16468
9/24/2008,383.95,374,394,374,389.1,12401
9/25/2008,389.1,378,402,378,396.1,30354
9/26/2008,396.1,384.4,397,377.05,380.45,11006
9/29/2008,380.45,376.6,385,372.8,376.8,35562
9/30/2008,376.8,340.1,390,340,386.65,28963
10/1/2008,386.65,378.5,386.95,361,363.85,17324
10/3/2008,363.85,367,375.7,338.75,350,71683
10/6/2008,350,340,343,301.3,313.5,39225
10/7/2008,313.5,315,327.9,280.35,292.35,13770
10/8/2008,292.35,292,295,236,244.3,20067
10/10/2008,244.3,200.25,231,195.45,195.45,132964
10/13/2008,195.45,214,214,175.9,177.95,44431
10/14/2008,177.95,193,195.75,184.3,189.45,34733
10/15/2008,189.45,180,185.9,172.05,174.15,25074
10/16/2008,174.15,170,170.9,162,164.85,69341
10/17/2008,164.85,165,170,150,158.4,73429
10/20/2008,158.4,160,161.95,151,155,338910
10/21/2008,155,153.4,165,147.1,150.4,77927
10/22/2008,150.4,144,155,144,149.9,21688
10/23/2008,149.9,141.25,144.5,140,140.65,26377
10/24/2008,140.65,136,147,126.6,126.6,33043
10/27/2008,126.6,125.05,125.05,113.95,113.95,3741
10/28/2008,113.95,118,119.65,108.3,117.6,5433
10/29/2008,117.6,120.1,120.1,111.8,113.9,33055
10/31/2008,113.9,118.2,119.6,108.25,116.65,57456
11/3/2008,116.65,120,122.5,117,120.05,3032664
11/4/2008,120.05,126.05,126.05,118,122.35,73532
11/5/2008,122.35,126,128.2,124,125,63378
11/6/2008,125,124,126,120.3,122,124900
11/7/2008,122,118.3,128.1,118.3,128.1,33114
11/10/2008,128.1,130.1,134.55,130.1,133.35,41466
11/11/2008,133.35,132,140.05,132,140.05,9762
11/12/2008,140.05,136,146,136,140.6,88027
11/14/2008,140.6,142,144.9,135,136.95,30008
11/17/2008,136.95,131,137,130.1,130.5,20896
11/18/2008,130.5,124.05,129.9,124,124.1,7895
11/19/2008,124.1,123,123,117.9,119.35,110056
11/20/2008,119.35,113.6,118,113.4,117.75,47943
11/21/2008,117.75,111.9,118,111.9,113.75,49746
11/24/2008,113.75,110.1,114.8,108.6,109,97789
11/25/2008,109,108.5,112.5,103.55,103.55,182410
11/26/2008,103.55,98.7,102.9,98.4,98.4,43626
11/28/2008,98.4,97,98.7,93.5,95.55,188709
12/1/2008,95.55,95,100.35,90.9,93.05,168560
12/2/2008,93.05,93.1,93.1,88.4,90.75,13364
12/3/2008,90.75,88.15,94,88.15,91.65,3807697
12/4/2008,91.65,91,96.25,91,95.05,317345
12/5/2008,95.05,94,99.8,94,99.8,30213
12/8/2008,99.8,104.8,104.8,104.8,104.8,7298
12/10/2008,104.8,110.05,110.05,105,109.35,359828
12/11/2008,109.35,110,110,105.2,107.7,27429
12/12/2008,107.7,102.5,110,102.5,105.9,37999
12/15/2008,105.9,104.9,111.2,104.9,108,46434
12/16/2008,108,104,111.3,104,106.25,524191
12/17/2008,106.25,104.05,110.7,100.95,100.95,36735
12/18/2008,100.95,98.1,106,98,105.55,10333
12/19/2008,105.55,102,110.85,102,110.85,56061
12/22/2008,110.85,114,116.4,109.05,115.35,247718
12/23/2008,115.35,117,121.15,113.3,121.15,27545
12/24/2008,121.15,127.25,127.25,122,127.25,14759
12/26/2008,127.25,133.65,133.65,133.65,133.65,84275
12/29/2008,133.65,139.7,140.35,135.25,140.35,103583
12/30/2008,140.35,146.4,147.4,142,147.4,146091
12/31/2008,147.4,149.5,154.8,142,149.7,112759
1/1/2009,149.7,151,155.9,145,150.45,36565
1/2/2009,150.45,151.5,158,146,158,25156
1/5/2009,158,163.4,165.9,161.5,165.9,12927
1/6/2009,165.9,174.2,174.2,166.25,174.2,131218
1/7/2009,174.2,182.95,182.95,169.1,176.25,131949
1/9/2009,176.25,171,184.9,167.45,180.75,32709
1/12/2009,180.75,182,189.8,176,189.35,40341
1/13/2009,189.35,192,198.85,189,198.85,29199
1/14/2009,198.85,208.8,208.8,205,208.8,7210
1/15/2009,208.8,212,214,198.4,198.4,159867
1/16/2009,198.4,188.5,188.5,188.5,188.5,11847
1/19/2009,188.5,179.1,179.1,179.1,179.1,1815
1/20/2009,179.1,170.15,188.1,170.15,188.1,66711
1/21/2009,188.1,188.1,194.7,178.7,179.35,558968
1/22/2009,179.35,182,183,170.4,172.7,42125
1/23/2009,172.7,176.2,176.2,164.1,165.7,28137
1/27/2009,165.7,164,164,157.45,159.95,11323
1/28/2009,159.95,155.1,167.95,153.05,167.95,33361
1/29/2009,167.95,167.5,175,164,167.35,24228
1/30/2009,167.35,165,175.75,162,172.45,23790
2/2/2009,172.45,165.05,174,165.05,165.75,4581
2/3/2009,165.75,164,168.6,157.5,157.65,224205
2/4/2009,157.65,155,164.15,150.3,153.4,7570
2/5/2009,153.4,155.95,155.95,151,151.9,4619
2/6/2009,151.9,150,154.45,146.25,147.8,5852
2/9/2009,147.8,150,152.45,140.5,141.6,33519
2/10/2009,141.6,140,148.7,140,148.25,54416
2/11/2009,148.25,143.9,148,142,143.1,14390
2/12/2009,143.1,142,147.6,139.2,140.45,29563
2/13/2009,140.45,141,147.5,140,143.2,18624
2/16/2009,143.2,143.55,147.75,140,140.4,10653
2/17/2009,140.4,140,143.6,140,141.4,15709
2/18/2009,141.4,140,144,139.5,141.5,10190
2/19/2009,141.5,140.1,142.95,139.4,140.5,12153
2/20/2009,140.5,140,147.55,140,145.95,14955
2/24/2009,145.95,145,152,138.65,151.1,19115
2/25/2009,151.1,157.9,157.9,151.05,156.65,13702
2/26/2009,156.65,155.05,162,155,157.7,38899
2/27/2009,157.7,159.5,159.5,155,155.45,37309
3/2/2009,155.45,155,158.45,148.15,151.05,12080
3/3/2009,151.05,146,154,145.4,151.3,118281
3/4/2009,151.3,150,154.6,145,147.55,7391
3/5/2009,147.55,146,152.65,140.5,145.25,3933
3/6/2009,145.25,149.75,149.75,136.3,142.3,230977
3/9/2009,142.3,141,148.9,140.4,148.05,18215
3/12/2009,148.05,147,151.8,144,146.05,3441
3/13/2009,146.05,143.05,154,143.05,144.8,76601
3/16/2009,144.8,149.85,150,143.6,148.7,7961
3/17/2009,148.7,147,150,144.75,145.1,23861
3/18/2009,145.1,145.55,152,145.55,148.3,13107
3/19/2009,148.3,146.1,157.8,146.1,150.95,24531
3/20/2009,150.95,148.05,154,148.05,151.8,4376
3/23/2009,151.8,150,167,150,159.95,27556
3/24/2009,159.95,166.5,167,160.1,164.6,17189
3/25/2009,164.6,163.2,165,160,163.65,8236
3/26/2009,163.65,163.2,170.95,162.2,168.75,10289
3/27/2009,168.75,165,175,165,169.5,8172
3/30/2009,169.5,169.8,169.8,159,160.85,63870
3/31/2009,160.85,165.85,171,161,169.05,13705
4/1/2009,169.05,168,182,165.5,179.05,13553
4/2/2009,179.05,185,188,172.3,178.45,17818
4/6/2009,178.45,179.25,189.85,179.25,187.9,22938
4/8/2009,187.9,175.8,195,175.8,191.3,31708
4/9/2009,191.3,190.95,196,183.15,189.2,15520
4/13/2009,189.2,182,199,182,187.5,9253
4/15/2009,187.5,188,190,182.55,188.85,9882
4/16/2009,188.85,195.5,200.95,191,195.55,20366
4/17/2009,195.55,199.9,200,194.85,199.4,17090
4/20/2009,199.4,200,219.35,198.3,217.05,72797
4/21/2009,217.05,215,233.35,201.35,224.5,75782
4/22/2009,224.5,228,240,217,234.75,51336
4/23/2009,234.75,235,240,229,233.3,29430
4/24/2009,233.3,232.1,240,222.55,237.85,11782
4/27/2009,237.85,235,238.85,229,231.05,4893
4/28/2009,231.05,228.8,229.5,221,223.6,5382
4/29/2009,223.6,226,233,213.05,218.2,6432
5/4/2009,218.2,229.1,229.15,221.25,229.15,10419
5/5/2009,229.15,230,239.8,222.25,230.1,105159
5/6/2009,230.1,230.1,230.1,223,225.6,7763
5/7/2009,225.6,225,236.9,220,235.6,37640
5/8/2009,235.6,237,246.95,237,245.15,45194
5/11/2009,245.15,250,253.8,236.2,242,148466
5/12/2009,242,236.1,254.1,236.1,252.65,16856
5/13/2009,252.65,249,261.9,249,259.15,40592
5/14/2009,259.15,250,255.2,246.95,248.2,3324
5/15/2009,248.2,242,251,235.8,235.95,28074
5/19/2009,235.95,247.75,247.75,247.75,247.75,64232
5/20/2009,247.75,260.15,260.15,256.1,260.15,61899
5/21/2009,260.15,273.15,273.2,273.15,273.2,5326
5/22/2009,273.2,286.9,286.9,286.9,286.9,10954
5/25/2009,286.9,301.25,301.25,301.25,301.25,457
5/26/2009,301.25,316.35,316.35,295.1,314.35,80101
5/27/2009,314.35,330.1,330.1,320,330.1,14071
5/28/2009,330.1,346.65,346.65,346.65,346.65,1519
5/29/2009,346.65,364,364,364,364,79227
6/1/2009,364,379.9,382.2,362,382.2,100092
6/2/2009,382.2,400.5,401.35,390,401.35,7508
6/3/2009,401.35,421.45,421.45,421.45,421.45,1888
6/4/2009,421.45,442.55,442.55,400.4,411.15,245855
6/5/2009,411.15,416,425,396.05,400.25,50189
6/8/2009,400.25,410,412,380.25,387.5,40796
6/9/2009,387.5,375.2,404,375.2,399.8,59350
6/10/2009,399.8,396,411.05,386.25,398.05,35203
6/11/2009,398.05,395.05,403,395.05,400,32046
6/12/2009,400,400,410,395,399.7,46268
6/15/2009,399.7,398,405,395,400.3,20020
6/16/2009,400.3,390,412,390,409.9,9810
6/17/2009,409.9,415,422,405.5,409.95,18075
6/18/2009,409.95,400,410,389.45,398.55,14356
6/19/2009,398.55,395,407.95,382.15,394.1,11015
6/22/2009,394.1,395.5,398,391.5,394.7,29548
6/23/2009,394.7,395,395,375,375.65,23264
