Date,Prev Close,Open,High,Low,Close,Volume
1/3/2000,703.25,705,759.5,705,756.9,7512
1/4/2000,756.9,710,770,710,754.55,8135
1/5/2000,754.55,755,759,705,735.3,6095
1/6/2000,735.3,740,794.15,740,785.65,19697
1/7/2000,785.65,808,848.5,798,848.5,33107
1/10/2000,848.5,900,916.4,865,912.2,29575
1/11/2000,912.2,920,920,839.25,853.75,20635
1/12/2000,853.75,900,900,860.55,882.7,9312
1/13/2000,882.7,890,920,875,881.4,19526
1/14/2000,881.4,872.5,880,864,869.65,15675
1/17/2000,869.65,880,890,870,875.95,7125
1/18/2000,875.95,870.1,899,868,881.05,12526
1/19/2000,881.05,889,911,889,900.85,14108
1/20/2000,900.85,907,919.9,893.55,895.7,5671
1/21/2000,895.7,897.9,897.9,885.25,888.25,1888
1/24/2000,888.25,880,895,851,884.75,6351
1/25/2000,884.75,871,890,870,881.25,6859
1/27/2000,881.25,865.9,885,810.75,830.3,14678
1/28/2000,830.3,800,815,782,792.45,6418
1/31/2000,792.45,778.65,788,729.25,746.75,5416
2/1/2000,746.75,751,759,721,731.5,7347
2/2/2000,731.5,740,752,700,731.05,4939
2/3/2000,731.05,750,750,695,714.15,11619
2/4/2000,714.15,720,720,706,713.5,13147
2/7/2000,713.5,701,717,700,701.7,7195
2/8/2000,701.7,704,704,680,685.5,15083
2/9/2000,685.5,714,740.35,695,707.4,23357
2/10/2000,707.4,719,730,707,712.1,11341
2/11/2000,712.1,723,729,700,704.15,20795
2/14/2000,704.15,710,711,690,690.6,7765
2/15/2000,690.6,681,681,640,653.3,18622
2/16/2000,653.3,670,680,662,674.7,10876
2/17/2000,674.7,670,698,670,677,8926
2/18/2000,677,670,694.9,661,667.05,11460
2/21/2000,667.05,675,690,655,665.7,7993
2/22/2000,665.7,670,670,655,657.45,11142
2/23/2000,657.45,658,680,655,665.65,5793
2/24/2000,665.65,675,677,642,662.1,8205
2/25/2000,662.1,674,674,640,641.85,6346
2/28/2000,641.85,640,656,609.15,635.85,9071
2/29/2000,635.85,650,659.85,605,611.5,16183
3/1/2000,611.5,625,625,562.6,562.6,9303
3/2/2000,562.6,527,530,517.6,517.6,8703
3/3/2000,517.6,476.2,545.45,476.2,504.6,26306
3/6/2000,504.6,525,525,464.25,475.3,18609
3/7/2000,475.3,479.9,490,462,469.35,17834
3/8/2000,469.35,488,506.45,465.1,489.4,39317
3/9/2000,489.4,500,500,475,499.65,34910
3/10/2000,499.65,500,517.9,470,486.15,36935
3/13/2000,486.15,500,520,487,512,13605
3/14/2000,512,510,530,490,519.95,30386
3/15/2000,519.95,520,561.55,520,540.1,16605
3/16/2000,540.1,547.6,559.85,520,543.65,9879
3/21/2000,543.65,550,554.95,535.1,544.85,22765
3/22/2000,544.85,563,587,558,573.25,19318
3/23/2000,573.25,590,595,572.25,579.45,19081
3/24/2000,579.45,581,613,581,599.3,10517
3/27/2000,599.3,609,642,595,636.6,14160
3/28/2000,636.6,640.1,651,622.25,629.6,12543
3/29/2000,629.6,654,675,625,643.65,19000
3/30/2000,643.65,625,635,605,621.2,13117
3/31/2000,621.2,624,629.9,605,619.8,9611
4/3/2000,619.8,612,618,571.55,601.35,6724
4/4/2000,601.35,575,589,555,567.8,14661
4/5/2000,567.8,560,590,560,578.8,4633
4/6/2000,578.8,581.05,600,566.05,590.5,8586
4/7/2000,590.5,605,610,580,597.35,9008
4/10/2000,597.35,601,607.9,572.2,581.45,8021
4/11/2000,581.45,572.2,588,570,577.9,9696
4/12/2000,577.9,584,584,566,571.2,4765
4/13/2000,571.2,555.1,575,555.1,571.85,7322
4/17/2000,571.85,560,560,526.1,526.1,7624
4/18/2000,526.1,532,539,491.1,505.5,20552
4/19/2000,505.5,539.9,539.9,510,521.2,5284
4/20/2000,521.2,525,548,503.05,530.15,7904
4/24/2000,530.15,528,528,505,505.95,6788
4/25/2000,505.95,505,520,505,508.95,16236
4/26/2000,508.95,519.9,524,512,520.7,9704
4/27/2000,520.7,511,520,507,510.15,4809
4/28/2000,510.15,520,520,505,505.45,9443
5/2/2000,505.45,502,513.95,495,505.45,10962
5/3/2000,505.45,492.05,505,485,495.85,7994
5/4/2000,495.85,520,546,506,533.3,8114
5/5/2000,533.3,540,589,528,578.6,28372
5/8/2000,578.6,590,608,580.25,590.4,19417
5/9/2000,590.4,579,595,565,589.8,9058
5/10/2000,589.8,608,608,580,590.15,8561
5/11/2000,590.15,584,609.95,551.5,593.8,15755
5/12/2000,593.8,595,600,565,570.15,14842
5/15/2000,570.15,555,558,525.05,540.15,20010
5/16/2000,540.15,531,545,505.15,515.9,28934
5/17/2000,515.9,530,540,488,512,24727
5/18/2000,512,513.75,514.95,502,510.7,2875
5/19/2000,510.7,491,511.95,485,501.85,5496
5/22/2000,501.85,481.1,502.7,481.1,499.05,4529
5/23/2000,499.05,500,504.8,493,499.65,22684
5/24/2000,499.65,495,507.9,490,501.75,5753
5/25/2000,501.75,501,535,501,509.9,10167
5/26/2000,509.9,510,550.7,504.2,549.55,30464
5/29/2000,549.55,559,590,550,584.2,23693
5/30/2000,584.2,594.95,605,572,598.4,17774
5/31/2000,598.4,600,635,592.5,620.25,24362
6/1/2000,620.25,600,614.3,600,607.15,9868
6/2/2000,607.15,600,627,590,619.95,11715
6/5/2000,619.95,629,647,610,612.8,7752
6/6/2000,612.8,612,619.05,600.25,613,6271
6/7/2000,613,606,610,598,602.15,5470
6/8/2000,602.15,604,604,584,591.6,4839
6/9/2000,591.6,586,603,585,589,3524
6/12/2000,589,594,594,583,586.15,2057
6/13/2000,586.15,600,600,575,584.9,4525
6/14/2000,584.9,595,630,591,619.7,16946
6/15/2000,619.7,605,622,601,613.2,8592
6/16/2000,613.2,619,619,608,609.55,3675
6/19/2000,609.55,615,621,595,603.95,5192
6/20/2000,603.95,609,609,595,599.65,4035
6/21/2000,599.65,590.05,610,585,589.35,13283
6/22/2000,589.35,594.4,596.75,572.5,592.55,5451
6/23/2000,592.55,589,590,578,580.35,2442
6/26/2000,580.35,582,582,565,572.4,29469
6/27/2000,572.4,570,585.35,570,576.55,8044
6/28/2000,576.55,585,593,580.1,591.35,1992
6/29/2000,591.35,592,613.5,591.1,609,7448
6/30/2000,609,609,609,594.5,596.85,4922
7/3/2000,596.85,615,620,604,612.7,8047
7/4/2000,612.7,592,625,592,619.05,9677
7/5/2000,619.05,620,629.25,612.55,617.9,4029
7/6/2000,617.9,611,616,600,609,3794
7/7/2000,609,600.05,618,600.05,614.95,14606
7/10/2000,614.95,609.25,630,609.25,617.25,9352
7/11/2000,617.25,615,639.8,610,628.65,10654
7/12/2000,628.65,640,659,635,643.75,18175
7/13/2000,643.75,652,653,638,649.95,34426
7/14/2000,649.95,654.9,689,649.2,670.55,104763
7/17/2000,670.55,680,683.9,660,678.3,30077
7/18/2000,678.3,680,680,665.2,676.1,22386
7/19/2000,676.1,678,678,665,672.9,11900
7/20/2000,672.9,672,672,663,666.05,8007
7/21/2000,666.05,660,665,650,651.65,7499
7/24/2000,651.65,642.3,645,626,637,10855
7/25/2000,637,625,664,620.05,654.85,9426
7/26/2000,654.85,674,680,658,672.15,17511
7/27/2000,672.15,677,677.25,662,672.05,12501
7/28/2000,672.05,670,679,665,675.5,77529
7/31/2000,675.5,678,724,673.5,715.05,26394
8/1/2000,715.05,710,715,685,699.55,15229
8/2/2000,699.55,689,690,657.05,679.95,9647
8/3/2000,679.95,682,682,671,675.8,2663
8/4/2000,675.8,671,680,665,678.85,5989
8/7/2000,678.85,671.05,674,667,671.35,2304
8/8/2000,671.35,669,690,666,686.45,6145
8/9/2000,686.45,689,710,676,697.55,14784
8/10/2000,697.55,700,704.7,685,687.65,4276
8/11/2000,687.65,694,694,680.1,688.6,3400
8/14/2000,688.6,690,709,682,703.05,10393
8/16/2000,703.05,695,705,680.1,702.15,8421
8/17/2000,702.15,692,696.9,685,689.6,4879
8/18/2000,689.6,686.1,694.5,680,690,3908
8/21/2000,690,686.25,691,685,689.3,2021
8/22/2000,689.3,690,690.5,675,681.9,4987
8/23/2000,681.9,688,688,676,679.05,3252
8/24/2000,679.05,676.5,679.9,665,673.8,2797
8/25/2000,673.8,665.1,680,665.1,676.2,7625
8/28/2000,676.2,688,690,670,674,3850
8/29/2000,674,661,681,661,679.75,3838
8/30/2000,679.75,683,683,672,675.05,3983
8/31/2000,675.05,670.5,670.5,666,668.5,4503
9/4/2000,668.5,670.1,673.5,651,661.8,11143
9/5/2000,661.8,668,668,652,659.8,2457
9/6/2000,659.8,670,679,650.05,664.6,14374
9/7/2000,664.6,671,671,660,661.2,14245
9/8/2000,661.2,641.5,663.95,640.05,649.9,17186
9/11/2000,649.9,650,650,636.1,646.05,7886
9/12/2000,646.05,634,646,625,626.1,6911
9/13/2000,626.1,638,639.5,630,632.1,20639
9/14/2000,632.1,638.75,649.8,634.1,642.65,6596
9/15/2000,642.65,649.8,649.8,633.45,636.5,3244
9/18/2000,636.5,640,655,627,644.3,13665
9/19/2000,644.3,644.9,666,631.1,657.85,12267
9/20/2000,657.85,675,710,665.5,689,14697
9/21/2000,689,701,708.5,682,693.8,15430
9/22/2000,693.8,670,684,663,678.5,7035
9/25/2000,678.5,670,694,655.05,678.4,8411
9/26/2000,678.4,672,675,665,670.35,7699
9/27/2000,670.35,653.5,670,653.5,667.8,4980
9/28/2000,667.8,695,695,660,660.7,2617
9/29/2000,660.7,676,676,655.1,659.85,3294
10/3/2000,659.85,651,669.9,651,653.1,3727
10/4/2000,653.1,650,669.9,650,663.15,3676
10/5/2000,663.15,667,695,660.1,681.15,6164
10/6/2000,681.15,685,695,676.6,685.85,8201
10/9/2000,685.85,688,707,681.1,701.9,10892
10/10/2000,701.9,692,700,692,698.15,18649
10/11/2000,698.15,710,716.2,676,698.85,24049
10/12/2000,698.85,692,710,691.5,706.45,16154
10/13/2000,706.45,700,763,697.25,747.1,40211
10/16/2000,747.1,774.5,780,751.25,769.1,35198
10/17/2000,769.1,770,770,740,762.7,27822
10/18/2000,762.7,745,762,722,752.7,20029
10/19/2000,752.7,750,755,736.6,746.95,5453
10/20/2000,746.95,731,805.9,731,745.8,17364
10/23/2000,745.8,736,755,736,744.75,8153
10/24/2000,744.75,737,775,737,759.3,12136
10/25/2000,759.3,758.5,760.05,746.1,750.15,13748
10/26/2000,750.15,756,758,752,752.9,1815
10/27/2000,752.9,745,812.9,745,751.65,6388
10/30/2000,751.65,751,770,751,759.45,9960
10/31/2000,759.45,753,762.5,753,756.35,10448
11/1/2000,756.35,774,792,765.1,776.35,35814
11/2/2000,776.35,784,808,780,804.1,77434
11/3/2000,804.1,809,816,798,803.4,27445
11/6/2000,803.4,800,815,799,800.5,11562
11/7/2000,800.5,810,810,800,804.05,13797
11/8/2000,804.05,802,820,801,809.5,15974
11/9/2000,809.5,800.5,809.5,800,800.75,5150
11/10/2000,800.75,806,806,799.1,803.1,15497
11/13/2000,803.1,800,805,793.75,797.85,57271
11/14/2000,797.85,794.2,810,790,804.3,15264
11/15/2000,804.3,807,807,791.5,793.6,5300
11/16/2000,793.6,792,801.1,784.9,799.15,7493
11/17/2000,799.15,800,818,800,814.75,22535
11/20/2000,814.75,815,819,810.5,815.8,7342
11/21/2000,815.8,812,819,810,816,10358
11/22/2000,816,802,810,800,801.45,15094
11/23/2000,801.45,800,808.5,798,807.1,6909
11/24/2000,807.1,811,812.4,802.15,810.25,9345
11/27/2000,810.25,807.25,831.65,807.25,819.65,21635
11/28/2000,819.65,823,827,821,826,12392
11/29/2000,826,803.5,830,803.5,821.6,12671
11/30/2000,821.6,834.9,834.9,818.5,830.65,18376
12/1/2000,830.65,820,834.95,816,820.1,12051
12/4/2000,820.1,805,819.75,785.7,788.9,22013
12/5/2000,788.9,790,800,785,793.85,16420
12/6/2000,793.85,794,805,785.05,788.95,10773
12/7/2000,788.95,789,793.7,782,787.8,4669
12/8/2000,787.8,783,794,783,792.8,7887
12/11/2000,792.8,794.9,795,785.1,789.55,4595
12/12/2000,789.55,788.25,793.95,788,789.6,6160
12/13/2000,789.6,751.15,795,751.15,791.85,2267
12/14/2000,791.85,786.1,793.1,786.05,787.75,11180
12/15/2000,787.75,790,790,775,775.9,6564
12/18/2000,775.9,750,780,725.55,770.5,23403
12/19/2000,770.5,779,779,750.05,761.55,18299
12/20/2000,761.55,752,772.85,752,771.35,2467
12/21/2000,771.35,776,776,750,759.35,15685
12/22/2000,759.35,762,763.9,750,756.1,3876
12/26/2000,756.1,790,790,750,758.25,4958
12/27/2000,758.25,767,780,765.65,775.05,5338
12/28/2000,775.05,769,797.85,768.5,789.4,8360
12/29/2000,789.4,800,806.65,780.2,802.4,6809
1/1/2001,802.4,820,824,792.15,798.75,6141
1/2/2001,798.75,795,815.5,791,799.95,5878
1/3/2001,799.95,804.8,811,790,807.1,7576
1/4/2001,807.1,814,814,790,793.15,8133
1/5/2001,793.15,792,807,792,803.05,8885
1/8/2001,803.05,807,816,802,813.85,23224
1/9/2001,813.85,819.9,819.9,800,804.3,4825
1/10/2001,804.3,815,815,791,795.2,6707
1/11/2001,795.2,775,801,775,797,11958
1/12/2001,797,783.5,798.75,783.5,786.3,13803
1/15/2001,786.3,780,790,773,787.85,2154
1/16/2001,787.85,789.9,790,775,777.15,5837
1/17/2001,777.15,785,785,760,782.15,1723
1/18/2001,782.15,768.15,782.45,768,772.35,1948
1/19/2001,772.35,770,810,765.25,799.7,44907
1/22/2001,799.7,780,800,780,781.15,3472
1/23/2001,781.15,780,783.95,761,768.4,4261
1/24/2001,768.4,760.5,785,760.5,767.8,10123
1/25/2001,767.8,766,772.9,760,763.6,8720
1/29/2001,763.6,775,775,750,761.4,5030
1/30/2001,761.4,728,780,728,774.6,12858
1/31/2001,774.6,795,800,770,797.55,16803
2/1/2001,797.55,799.9,800.05,787,795.05,22197
2/2/2001,795.05,795,800,792,796.5,3845
2/5/2001,796.5,803,803,771,775.2,49539
2/6/2001,775.2,766.05,785,765.25,773.85,6828
2/7/2001,773.85,716.1,793,716.1,768.75,5410
2/8/2001,768.75,779.9,785,761,780.55,7496
2/9/2001,780.55,765,788,765,773.5,3471
2/12/2001,773.5,784,807.5,771,797.95,28841
2/13/2001,797.95,807.9,807.9,790,796.25,38983
2/14/2001,796.25,805,823,797.25,807.7,53351
2/15/2001,807.7,814,816.9,805,812.6,47738
2/16/2001,812.6,801,814,801,807.1,11559
2/19/2001,807.1,798,813,795,810.35,8236
2/20/2001,810.35,806,811,800,801,8049
2/21/2001,801,781,805.5,781,794.9,2759
2/22/2001,794.9,789,804.8,785.6,790.25,4623
2/23/2001,790.25,788.1,792,776,781.6,5270
2/26/2001,781.6,770.2,780,728,774,5661
2/27/2001,774,763.05,795,763.05,779.25,5875
2/28/2001,779.25,720,800,720,733.7,16612
3/1/2001,733.7,721.5,724.9,681,707.9,60400
3/2/2001,707.9,733,733,690.25,717.9,15339
3/5/2001,717.9,709,725,708,717.5,15099
3/7/2001,717.5,717.55,720,700.1,707.75,6932
3/8/2001,707.75,719.85,719.85,681.05,699.55,5582
3/9/2001,699.55,685,749,671.25,695.1,5398
3/12/2001,695.1,675,703.75,675,685,1508
3/13/2001,685,676,735,645,661.85,5724
3/14/2001,661.85,659,699,659,671.5,2367
3/15/2001,671.5,694.9,694.9,662,684.2,980
3/16/2001,684.2,680,685,665.5,668.45,1274
3/19/2001,668.45,660,683,656,668.15,680
3/20/2001,668.15,681,681,652.3,666.4,2210
3/21/2001,666.4,669,670,661,669.35,317
3/22/2001,669.35,671,698,668,687.5,4738
3/23/2001,687.5,680,684,670,671.35,2835
3/26/2001,671.35,690,690,652.5,665.65,637
3/27/2001,665.65,651,680,651,675.95,1966
3/28/2001,675.95,729.9,729.9,674.5,694.55,7222
3/29/2001,694.55,673,699,673,694.9,18291
3/30/2001,694.9,715,729,680.3,699.05,8464
4/2/2001,699.05,680,695,673,682.55,4363
4/3/2001,682.55,657,693,657,686.95,8142
4/4/2001,686.95,676,690,676,685.95,8141
4/6/2001,685.95,663.55,687.8,663.55,671.1,580
4/9/2001,671.1,674.25,709.8,660.35,686.7,3213
4/10/2001,686.7,680,687,662,679.4,1473
4/11/2001,679.4,678,678,655.55,663.45,1568
4/12/2001,663.45,631.95,684,631.95,673.4,3745
4/16/2001,673.4,684,684,658.4,670.9,4180
4/17/2001,670.9,680,685,665.25,682.05,6430
4/18/2001,682.05,675,688,675,685.05,6978
4/19/2001,685.05,677,700,677,694.45,9082
4/20/2001,694.45,675,695.6,640,693.25,8020
4/23/2001,693.25,690,696,680.1,694.05,5002
4/24/2001,694.05,689,694.75,687,694.1,1532
4/25/2001,694.1,640.1,714.9,640.1,686.9,1207
4/26/2001,686.9,695,701,690.05,700,27053
4/27/2001,700,690,698.8,675,695.45,2520
4/30/2001,695.45,683.25,695.5,683.25,694.75,9671
5/2/2001,694.75,665,695,665,686.55,21175
5/3/2001,686.55,680.1,692,680.1,688.95,1358
5/4/2001,688.95,690,690,676,681.25,927
5/7/2001,681.25,677,683.9,677,680.25,1230
5/8/2001,680.25,680.3,684.65,673.05,674.6,542
5/9/2001,674.6,677.35,683.9,672.25,674.1,11346
5/10/2001,674.1,671,674.5,670,673.9,263
5/11/2001,673.9,664.55,677,664.55,668.9,589
5/14/2001,668.9,675,676,663.4,663.5,1630
5/15/2001,663.5,676.95,681,641.05,648.5,2877
5/16/2001,648.5,668,668,647,650.7,2725
5/17/2001,650.7,654.85,658,646,647.7,2728
5/18/2001,647.7,652,657.9,635,637.65,28757
