Date,Prev Close,Open,High,Low,Close,Volume
1/3/2000,1349.4,1410,1457.35,1380.05,1457.35,21060
1/4/2000,1457.35,1537,1537,1430,1465.25,30215
1/5/2000,1465.25,1474,1474,1365,1435.05,33799
1/6/2000,1435.05,1434,1435,1349,1355.85,33083
1/7/2000,1355.85,1370,1389.9,1247.4,1247.55,66536
1/10/2000,1247.55,1288,1299,1191,1205.9,105912
1/11/2000,1205.9,1225,1225,1109.45,1114.25,186975
1/12/2000,1114.25,1185,1203.4,1185,1203.4,7416
1/13/2000,1203.4,1299.7,1299.7,1281.2,1297.05,90379
1/14/2000,1297.05,1299,1304.55,1220,1280.7,70729
1/17/2000,1280.7,1335,1340,1250.15,1270.05,54938
1/18/2000,1270.05,1294,1294,1200,1220.15,51691
1/19/2000,1220.15,1175,1219.9,1132,1203.85,132669
1/20/2000,1203.85,1205,1223,1201,1208.8,44602
1/21/2000,1208.8,1210,1210,1160,1201.1,43168
1/24/2000,1201.1,1218,1223.9,1185,1212,67930
1/25/2000,1212,1195,1208,1176.05,1194.3,65851
1/27/2000,1194.3,1225,1225,1185,1190.3,33549
1/28/2000,1190.3,1210,1215,1171,1183.75,25834
1/31/2000,1183.75,1162,1184.9,1155,1173.1,30473
2/1/2000,1173.1,1185,1232,1160,1219.5,57336
2/2/2000,1219.5,1249,1295,1240,1270.85,67545
2/3/2000,1270.85,1289,1298.95,1235,1243.4,29108
2/4/2000,1243.4,1245,1250,1196.15,1216.15,30288
2/7/2000,1216.15,1220,1245,1195,1220.8,79074
2/8/2000,1220.8,1201,1234.5,1185.25,1205.65,67366
2/9/2000,1205.65,1235,1265,1211,1218.15,28941
2/10/2000,1218.15,1200,1212,1185,1197.6,28527
2/11/2000,1197.6,1200,1200,1150,1165.65,22600
2/14/2000,1165.65,1155,1169,1100,1152.45,56818
2/15/2000,1152.45,1131,1159,1120,1151.8,36573
2/16/2000,1151.8,1165,1180,1150,1164.75,12340
2/17/2000,1164.75,1194,1257.95,1158,1257.85,68138
2/18/2000,1257.85,1288.7,1288.7,1185,1201.15,79506
2/21/2000,1201.15,1215,1238,1140,1166.7,50159
2/22/2000,1166.7,1160,1180,1111,1126.75,57839
2/23/2000,1126.75,1174,1200,1135,1143.35,38763
2/24/2000,1143.35,1135,1169,1135,1149.55,20743
2/25/2000,1149.55,1139.9,1145,1120,1134.75,14091
2/28/2000,1134.75,1100,1224,1100,1195.45,56151
2/29/2000,1195.45,1206,1260,1099.9,1149.5,78176
3/1/2000,1149.5,1135,1135,1057.55,1057.55,33000
3/2/2000,1057.55,1002.65,1026,972.95,972.95,42539
3/3/2000,972.95,895.15,965,895.15,895.15,49805
3/6/2000,895.15,876,950,871,929.65,81737
3/7/2000,929.65,957,957,890,924.7,80666
3/8/2000,924.7,949,982,899.9,927.4,45283
3/9/2000,927.4,929,945,880,901.4,27056
3/10/2000,901.4,955,973.55,900,973.55,43348
3/13/2000,973.55,990,1051.45,988,1051.45,17374
3/14/2000,1051.45,1060,1135.6,990,1135.6,58944
3/15/2000,1135.6,1224,1226.45,1125,1150.4,94629
3/16/2000,1150.4,1175,1175,1060,1063.25,30595
3/21/2000,1063.25,1099,1148.35,1049,1135.15,77800
3/22/2000,1135.15,1151,1185,1120,1167.9,57847
3/23/2000,1167.9,1155,1180,1121,1165.15,34038
3/24/2000,1165.15,1130.2,1169,1086,1118.15,21160
3/27/2000,1118.15,1130,1132,1029,1064.4,24831
3/28/2000,1064.4,1040,1069.45,1000,1027.6,24788
