Date,Prev Close,Open,High,Low,Close,Volume
1/11/2000,580,1550,1725,1492,1554.45,1192200
1/12/2000,1554.45,1560,1678.85,1560,1678.85,344850
1/13/2000,1678.85,1790,1813.2,1781,1813.2,53000
1/14/2000,1813.2,1958.3,1958.3,1835,1958.3,270950
1/17/2000,1958.3,2115,2115,1801.65,1801.65,428800
1/18/2000,1801.65,1730.55,1815,1657.55,1774.5,359900
1/19/2000,1774.5,1815,1889,1760,1851.15,316050
1/20/2000,1851.15,1865,1865,1750,1757.85,204700
1/21/2000,1757.85,1761,1815,1705,1781.35,282150
1/24/2000,1781.35,1834.9,1923.9,1795,1923.9,328650
1/25/2000,1923.9,1990,2077.85,1990,2077.85,313500
1/27/2000,2077.85,2239.9,2239.9,1965,2080.6,352400
1/28/2000,2080.6,2100,2245,2020.2,2196.95,360800
1/31/2000,2196.95,2111,2200,2021.2,2030.4,217650
2/1/2000,2030.4,1981.2,2180,1981.2,2162.25,261000
2/2/2000,2162.25,2260,2260,2010,2024.25,326550
2/3/2000,2024.25,2075,2075,1915.2,1956.5,175800
2/4/2000,1956.5,1993,2064,1965,1986.6,176500
2/7/2000,1986.6,1985,2119.95,1960.05,2062.95,277850
2/8/2000,2062.95,2049.4,2060,1970,1999.2,199100
2/9/2000,1999.2,2100,2100,1975,1999,180500
2/10/2000,1999,1976.65,2014.8,1965,1996.75,76850
2/11/2000,1996.75,1998,2156.5,1992,2156.5,166150
2/14/2000,2156.5,2199,2329.05,2199,2324.7,265150
2/15/2000,2324.7,2350,2510.7,2210,2508.4,224500
2/16/2000,2508.4,2560,2560,2307.75,2423.1,260850
2/17/2000,2423.1,2445,2616.95,2380,2614.7,276550
2/18/2000,2614.7,2800,2823.9,2760.5,2775.95,173400
2/21/2000,2775.95,2823,2998,2725,2819.15,151800
2/22/2000,2819.15,2800,2875,2652,2700.3,88250
2/23/2000,2700.3,2825,2870,2484.3,2548.8,71250
2/24/2000,2548.8,2570,2650,2445,2464.1,67350
2/25/2000,2464.1,2498,2540,2280,2317.3,72050
2/28/2000,2317.3,2200,2300,2132,2262.75,67550
2/29/2000,2262.75,2325,2350,2081.75,2081.75,85100
3/1/2000,2081.75,2000,2248.3,1915.25,2248.3,217400
3/2/2000,2248.3,2399,2428.2,2350,2428.2,73000
3/3/2000,2428.2,2618.9,2622.5,2350,2443.6,144050
3/6/2000,2443.6,2500,2500,2248.15,2249.75,50200
3/7/2000,2249.75,2225,2269,2069.8,2069.8,74050
3/8/2000,2069.8,2000,2150,1940,1975.4,123150
3/9/2000,1975.4,1952,2085,1817.4,1911.55,141050
3/10/2000,1911.55,1902,1949.9,1770,1798.9,70000
3/13/2000,1798.9,1839,1915,1655,1655,95250
3/14/2000,1655,1650,1725,1522.6,1667.75,122700
3/15/2000,1667.75,1750,1801.2,1578.05,1801.2,38000
3/16/2000,1801.2,1945,1945.3,1945,1945.3,7750
3/21/2000,1945.3,2089,2100.95,2000,2100.95,67200
3/22/2000,2100.95,2269.05,2269.05,2269.05,2269.05,6900
3/23/2000,2269.05,2399,2450,2090,2148.35,74050
