Date,Prev Close,Open,High,Low,Close,Volume
1/3/2000,157.4,166,170,166,170,33259
1/4/2000,170,182,183.45,171,173.8,168710
1/5/2000,173.8,170,173.9,165,166.95,159820
1/6/2000,166.95,168,170,165.3,168.3,85026
1/7/2000,168.3,162.15,171,162.15,168.35,85144
1/10/2000,168.35,172.9,179.5,165,165.9,100434
1/11/2000,165.9,166.5,167.9,157,163.4,145784
1/12/2000,163.4,163.75,167.95,162.3,165.45,85952
1/13/2000,165.45,169.9,169.9,165,165.1,48276
1/14/2000,165.1,168,168,164,165.45,58152
1/17/2000,165.45,174,178.7,172.05,178.7,137404
1/18/2000,178.7,178.7,178.7,164.55,165.7,255652
1/19/2000,165.7,172,179,172,179,349818
1/20/2000,179,184.8,184.8,176,178.6,269098
1/21/2000,178.6,176,192,172.1,188.15,472329
1/24/2000,188.15,198.8,203.2,193,200.55,449366
1/25/2000,200.55,199,216.6,199,216.6,290291
1/27/2000,216.6,224,233.95,221.25,229.7,563582
1/28/2000,229.7,230,233,224,227.9,479165
1/31/2000,227.9,230.1,246.15,230.1,237.75,637380
2/1/2000,237.75,236,244,235,240.95,390779
2/2/2000,240.95,260.2,260.25,239,244,343832
2/3/2000,244,244,250,224.5,225.95,284687
2/4/2000,225.95,229.95,232,217.5,228.95,265704
2/7/2000,228.95,235,247.3,230,246.7,389035
2/8/2000,246.7,250,253.8,240.1,250.75,305208
2/9/2000,250.75,255,261,246.1,252.5,317233
2/10/2000,252.5,250,262,248.25,251.75,210086
2/11/2000,251.75,255.1,259,231.65,232.1,264823
2/14/2000,232.1,235,235,220.15,233.45,252544
2/15/2000,233.45,234,235,225.1,227.6,194087
2/16/2000,227.6,244.9,245.85,230,245.85,70600
2/17/2000,245.85,257.7,257.7,248.15,250.4,234160
2/18/2000,250.4,251,253,239,242.6,118777
2/21/2000,242.6,243.25,248,235.1,236.15,110472
2/22/2000,236.15,236.05,240,217.3,217.55,174806
2/23/2000,217.55,226,234.9,217.5,219.45,134508
2/24/2000,219.45,222,230,215.5,227,87892
2/25/2000,227,229.95,234,222,227,126532
2/28/2000,227,229.85,230,220,227.55,85721
2/29/2000,227.55,228,239,209.5,216.8,258688
3/1/2000,216.8,218,234.15,218,234.15,32094
3/2/2000,234.15,250,252.9,250,252.9,39936
3/3/2000,252.9,273.15,273.15,273.15,273.15,64294
3/6/2000,273.15,294.95,295,255,266.05,203641
3/7/2000,266.05,265,267.9,255,258.2,162412
3/8/2000,258.2,265,278.9,262,272.05,200477
3/9/2000,272.05,270.15,280,251,269.6,133979
3/10/2000,269.6,261.25,263,248.05,254.15,146833
3/13/2000,254.15,250,274.5,250,269.95,207982
3/14/2000,269.95,275.5,280,256,265.4,178202
3/15/2000,265.4,270,270,247,259.85,82786
3/16/2000,259.85,262,262,255.05,256.95,132464
3/21/2000,256.95,260,260,246.7,255.8,160111
3/22/2000,255.8,259.75,265,254.05,261.15,76130
3/23/2000,261.15,258.25,282.05,258.25,280.4,253844
3/24/2000,280.4,275.1,277.75,264.5,273.4,117154
3/27/2000,273.4,275,278,266.25,271.7,61131
3/28/2000,271.7,268.5,278.5,268.05,275.1,98364
3/29/2000,275.1,276,287.95,263.05,265.4,98480
3/30/2000,265.4,256.5,266,251,262.55,95368
3/31/2000,262.55,253,260,252,257.2,74360
4/3/2000,257.2,259.95,273,240.15,247.15,168588
4/4/2000,247.15,243,243,227.4,227.4,71783
4/5/2000,227.4,232,232,209.25,209.25,87281
4/6/2000,209.25,207,212,192.55,192.55,83506
4/7/2000,192.55,195,207.95,185.05,207.95,160929
4/10/2000,207.95,224.5,224.6,219.95,224.6,156056
4/11/2000,224.6,224.6,234.9,209,226.2,295933
4/12/2000,226.2,238,243,223,233,130901
4/13/2000,233,229,234,215,231.45,191316
4/17/2000,231.45,225,225,212.95,212.95,128329
4/18/2000,212.95,214.05,224.9,214.05,222.1,136898
4/19/2000,222.1,229,232,219,226.45,140953
4/20/2000,226.45,223,227,215.3,225.7,179397
4/24/2000,225.7,225,235.9,224.5,232.1,198636
4/25/2000,232.1,228.1,235,220,230.95,256016
4/26/2000,230.95,239.9,249.45,231.25,249.25,188978
4/27/2000,249.25,254.7,255,233.1,245.5,255768
4/28/2000,245.5,242.05,249.5,240.05,245.15,167249
5/2/2000,245.15,247,254,240,251.2,253873
5/3/2000,251.2,243,249.9,232.5,246.2,222892
5/4/2000,246.2,254.9,257,246.1,250.8,172245
5/5/2000,250.8,248.5,270,247.25,259.85,284419
5/8/2000,259.85,265,275,256,260.45,138220
5/9/2000,260.45,256,264.95,253,261.4,114288
5/10/2000,261.4,260,265,252,262.65,187477
5/11/2000,262.65,255.1,270.9,254.05,265.8,243138
5/12/2000,265.8,271.4,271.4,260.1,262.1,129698
5/15/2000,262.1,258.05,262,251,257.1,165313
5/16/2000,257.1,257,261.75,255,256.25,107407
