Date,Prev Close,Open,High,Low,Close,Volume
1/3/2000,1145.2,1200,1236.8,1171,1207.6,10631
1/4/2000,1207.6,1200,1220,1176,1199.85,19849
1/5/2000,1199.85,1155,1178,1140,1143.8,2525
1/6/2000,1143.8,1183,1189.95,1150.25,1161.4,4375
1/7/2000,1161.4,1140,1140,1069,1106.55,9093
1/10/2000,1106.55,1105.05,1135,1100,1126.35,11113
1/11/2000,1126.35,1100,1135,1095,1125.1,11333
1/12/2000,1125.1,1176,1198,1150,1174.95,4353
1/13/2000,1174.95,1198,1198,1140,1146.4,7221
1/14/2000,1146.4,1194,1198,1157.5,1190.3,12898
1/17/2000,1190.3,1216,1285.55,1216,1285.55,44550
1/18/2000,1285.55,1339,1365,1270,1294.65,17246
1/19/2000,1294.65,1300,1324.9,1270,1272.55,23057
1/20/2000,1272.55,1275,1275,1236.3,1252.9,3987
1/21/2000,1252.9,1240,1255.5,1235,1242.55,3125
1/24/2000,1242.55,1201,1260.25,1201,1212.1,2624
1/25/2000,1212.1,1201,1300,1170,1218.6,5056
1/27/2000,1218.6,1221,1237,1183,1187.3,3095
1/28/2000,1187.3,1180,1210,1180,1197.55,2427
1/31/2000,1197.55,1187,1195,1171.1,1175.3,1491
2/1/2000,1175.3,1160,1199,1125,1146.25,3516
2/2/2000,1146.25,1145,1169,1062,1068.95,21210
2/3/2000,1068.95,1084.7,1099,1054,1059.25,13761
2/4/2000,1059.25,1060,1079,1008,1018.1,14853
2/7/2000,1018.1,1020,1020,990,995.35,16078
2/8/2000,995.35,1030,1030,950,962.5,20385
2/9/2000,962.5,1025,1032,965,971.25,19525
2/10/2000,971.25,980,986,950,955.4,9346
2/11/2000,955.4,950,977,905.25,920.7,15205
2/14/2000,920.7,895,904,866,895.45,23887
2/15/2000,895.45,860,915,860,893.65,20817
2/16/2000,893.65,892,919,886.05,891.85,6027
2/17/2000,891.85,890,900,870,893.2,5824
2/18/2000,893.2,895.5,900,822,837.85,15937
2/21/2000,837.85,850,866,833,860.45,8863
2/22/2000,860.45,843,858,835,847.8,9970
2/23/2000,847.8,900,900,846,858.85,5474
2/24/2000,858.85,840,860,820.1,838.6,2721
2/25/2000,838.6,869.8,869.8,810,821.75,4216
2/28/2000,821.75,849,849,819,826.65,3262
2/29/2000,826.65,842,870,810,822.45,16758
3/1/2000,822.45,860,860,800,825.8,19323
3/2/2000,825.8,805,834,791.05,797.15,5600
3/3/2000,797.15,819,860,750,797.65,25572
3/6/2000,797.65,856.7,856.7,810,822.1,11931
3/7/2000,822.1,825,825,778,811.55,12419
3/8/2000,811.55,850,850,790,805.1,12403
3/9/2000,805.1,820,869.55,810,869.55,19265
3/10/2000,869.55,920,939.1,880,935.9,19696
3/13/2000,935.9,959,985,925,947.55,11794
3/14/2000,947.55,931,931,872,902.85,16539
3/15/2000,902.85,925,970,918.75,924.25,9721
3/16/2000,924.25,940,940,890,910.7,3497
3/21/2000,910.7,900,912,900,901.7,9577
3/22/2000,901.7,940,973.85,921,973.85,7271
3/23/2000,973.85,1015,1051.8,1015,1051.8,6122
3/24/2000,1051.8,1100,1124.8,992.5,1087.95,30830
3/27/2000,1087.95,1055,1070,1000.95,1000.95,6554
3/28/2000,1000.95,960,1001,945,986.55,8180
3/29/2000,986.55,970,984,925,944.35,6043
3/30/2000,944.35,940,975,901,936,9799
3/31/2000,936,950,986,905,970.4,18169
4/3/2000,970.4,999,1019,963,999.05,9433
4/4/2000,999.05,981,1000,920,947.5,22020
4/5/2000,947.5,990,990,949,952.15,5338
4/6/2000,952.15,941,969,900,932.35,8859
4/7/2000,932.35,940,1006.95,940,1006.95,8151
4/10/2000,1006.95,1000,1087.55,980,1043.9,9197
4/11/2000,1043.9,1026,1026,983.6,1000.9,5610
4/12/2000,1000.9,1000,1000,960,962.9,4702
4/13/2000,962.9,945,945,902,925.85,4411
4/17/2000,925.85,880,920,860.15,908.25,6061
4/18/2000,908.25,902.1,940,900,906.45,6083
4/19/2000,906.45,925,939,840,854.65,8796
4/20/2000,854.65,850,923,830,896,7501
4/24/2000,896,890,895,841,853.25,6957
4/25/2000,853.25,825,844,800,814.25,6520
4/26/2000,814.25,840,879.4,840,879.4,4360
4/27/2000,879.4,901,932.8,885,905.3,15912
4/28/2000,905.3,934,940,902,926.3,5515
5/2/2000,926.3,950,985,940,955.2,17869
5/3/2000,955.2,900,940,873,874.9,11764
5/4/2000,874.9,881,915,868.05,891.2,7453
5/5/2000,891.2,909.95,910,875,880,5629
5/8/2000,880,889.25,899.85,880,886.1,4492
5/9/2000,886.1,876,890,872.8,876.45,4662
5/10/2000,876.45,885,890,870,870,1110
5/11/2000,870,878,880,850,873.1,4225
5/12/2000,873.1,873,873,805,810.5,8265
5/15/2000,810.5,790.1,845,781.1,821.4,3818
5/16/2000,821.4,820,829,813.65,822.5,3673
5/17/2000,822.5,834,855,820,824.95,3399
5/18/2000,824.95,810,830,805,819.35,800
5/19/2000,819.35,820,824.9,805,819.6,1742
5/22/2000,819.6,825,837,810,830.25,3082
5/23/2000,830.25,805,848.5,801,823.85,6733
5/24/2000,823.85,801,824.75,800,806.6,2371
5/25/2000,806.6,805.1,849,805,828.65,37884
5/26/2000,828.65,831,880,817,865.4,4502
5/29/2000,865.4,888,933,870.2,876,4786
5/30/2000,876,870,910,860,897.55,5634
5/31/2000,897.55,919,940,895,924,10411
6/1/2000,924,910,942,910,938.35,7358
6/2/2000,938.35,940,955,931,946.6,10787
