Date,Prev Close,Open,High,Low,Close,Volume,,,,,
1/3/2000,69.2,74.35,74.75,71.4,74.75,286260,,,,,
1/4/2000,74.75,73.05,78.5,71,73.05,296264,,,,,
1/5/2000,73.05,70,73.5,67.5,69.5,227624,,,,,
1/6/2000,69.5,71,74,69.55,70.05,275149,,,,,
1/7/2000,70.05,69,72.5,66,67.4,138809,,,,,
1/10/2000,67.4,67,71,67,69.9,249656,,,,,
1/11/2000,69.9,69.15,70.45,66.1,69.35,307601,,,,,
1/12/2000,69.35,69,74.9,69,74.9,88395,,,,,
1/13/2000,74.9,80,80.9,78,79.35,494679,,,,,
1/14/2000,79.35,78,80.8,75,79,703072,,,,,
1/17/2000,79,81.8,85.35,81.8,85.35,242095,,,,,
1/18/2000,85.35,88.1,88.1,82,84.8,332383,,,,,
1/19/2000,84.8,88.7,91.6,87,91.6,319504,,,,,
1/20/2000,91.6,98.9,98.95,95,96.35,562692,,,,,
1/21/2000,96.35,103.75,103.75,90.65,99.35,497788,,,,,
1/24/2000,99.35,101,107.3,101,107.3,238959,,,,,
1/25/2000,107.3,112,115.9,105.9,115.9,377898,,,,,
1/27/2000,115.9,125.2,125.2,125.15,125.2,55421,,,,,
1/28/2000,125.2,130,135.25,125.2,135.25,140552,,,,,
1/31/2000,135.25,145,146.1,142.8,146.1,48483,,,,,
2/1/2000,146.1,157.8,157.8,154.1,157.8,294448,,,,,
2/2/2000,157.8,170.4,170.45,170.4,170.45,77058,,,,,
2/3/2000,170.45,180.9,184.1,156.85,156.85,1096584,,,,,
2/4/2000,156.85,160,160,144.3,144.4,916856,,,,,
2/7/2000,144.4,153.5,155.95,141,155.6,346954,,,,,
2/8/2000,155.6,160,162,145,151.55,518908,,,,,
2/9/2000,151.55,163,163,147,156.55,574437,,,,,
2/10/2000,156.55,160,169.1,160,169.1,477509,,,,,
2/11/2000,169.1,178.85,178.85,158.9,160.3,358089,,,,,
2/14/2000,160.3,161.7,173,161.7,171.7,680012,,,,,
2/15/2000,171.7,171.9,178,162,164.2,333939,,,,,
2/16/2000,164.2,173.7,177.35,168,177.05,365906,,,,,
2/17/2000,177.05,179.95,187.45,175,179.75,524041,,,,,
2/18/2000,179.75,179,180,172.2,174.35,206088,,,,,
2/21/2000,174.35,177,177,168.25,170.2,216847,,,,,
2/22/2000,170.2,171,172,157.55,158.9,302490,,,,,
2/23/2000,158.9,163,169.8,156,156.9,138078,,,,,
2/24/2000,156.9,163,163,144.5,148.8,158543,,,,,
2/25/2000,148.8,154,160.7,147.5,160.3,168818,,,,,
2/28/2000,160.3,167,173.15,155,173.15,207492,,,,,
2/29/2000,173.15,186.2,187,165.65,171.3,485692,,,,,
3/1/2000,171.3,170,185,170,185,134657,,,,,
3/2/2000,185,199.8,199.8,199.8,199.8,60344,,,,,
3/3/2000,199.8,215.8,215.8,215.8,215.8,54422,,,,,
3/6/2000,215.8,233.1,233.1,199.8,233.1,253604,,,,,
3/7/2000,233.1,245,250,214.45,238.15,505774,,,,,
3/8/2000,238.15,249.5,249.5,219.1,219.35,188461,,,,,
3/9/2000,219.35,213,221.05,201.8,201.8,105191,,,,,
3/10/2000,201.8,199.9,217.95,185.7,211.65,370944,,,,,
3/13/2000,211.65,216,218.8,194.75,201.1,324805,,,,,
3/14/2000,201.1,200,205,186,201.2,295642,,,,,
3/15/2000,201.2,203.1,212.9,198,210.35,143921,,,,,
3/16/2000,210.35,215,217,202,203.95,135423,,,,,
3/21/2000,203.95,202,208.9,187.85,191.75,143802,,,,,
3/22/2000,191.75,197,207,195,200.35,108196,,,,,
3/23/2000,200.35,207,216.4,207,216.4,69268,,,,,
3/24/2000,216.4,228,233.75,216.25,233.75,199705,,,,,
3/27/2000,233.75,238,251.5,233,237.65,244731,,,,,
3/28/2000,237.65,242,242.2,218.65,221.95,266906,,,,,
3/29/2000,221.95,239.75,239.75,239.75,239.75,211225,,,,,
3/30/2000,239.75,258.95,258.95,258.95,258.95,53319,,,,,
3/31/2000,258.95,239.75,275,239,267.05,1049199,,,,,
4/3/2000,267.05,272.75,279.65,245.7,247.45,608155,,,,,
4/4/2000,247.45,245.75,245.75,227.65,229.25,729506,,,,,
4/5/2000,229.25,227.65,227.65,210.95,210.95,100843,,,,,
4/6/2000,210.95,212,219.95,194.1,202.85,263754,,,,,
4/7/2000,202.85,215.95,219.1,215.95,219.1,59542,,,,,
4/10/2000,219.1,224,236.65,224,236.65,27472,,,,,
4/11/2000,236.65,220,249.45,217.75,242.8,228999,,,,,
4/12/2000,242.8,259,259,232.1,236.95,147279,,,,,
4/13/2000,236.95,232,232,218,224.5,241833,,,,,
4/17/2000,224.5,206.55,225,206.55,209.25,223208,,,,,
4/18/2000,209.25,219.9,225,210,219.9,107964,,,,,
4/19/2000,219.9,235,235,211.05,217.55,134861,,,,,
4/20/2000,217.55,220,220,206,215.45,97754,,,,,
4/24/2000,215.45,218.9,220,204,206.15,129833,,,,,
4/25/2000,206.15,197,206,189.7,202.7,282772,,,,,
