Date,Prev Close,Open,High,Low,Close,Volume,,,,,
1/3/2000,212.35,220,229.35,220,229.35,7086,,,,,
1/4/2000,229.35,247.7,247.7,225.25,246.95,73681,,,,,
1/5/2000,246.95,229,240,227.2,228.4,105799,,,,,
1/6/2000,228.4,235.1,239,217,225.9,40202,,,,,
1/7/2000,225.9,213,219,207.85,208.85,24463,,,,,
1/10/2000,208.85,215,219,192.15,192.15,12408,,,,,
1/11/2000,192.15,180.2,180.2,176.8,176.8,15253,,,,,
1/12/2000,176.8,165,169.45,162.7,162.7,20558,,,,,
1/13/2000,162.7,149.7,175.7,149.7,167.35,103323,,,,,
1/14/2000,167.35,169,177,156.15,159.85,31522,,,,,
1/17/2000,159.85,169,170,150.15,153.5,27217,,,,,
1/18/2000,153.5,148.25,158.9,147.3,149.5,40099,,,,,
1/19/2000,149.5,154.5,161.5,154,161.5,12701,,,,,
1/20/2000,161.5,174.45,174.45,174.45,174.45,4180,,,,,
1/21/2000,174.45,188.4,188.45,182.1,188.45,39486,,,,,
1/24/2000,188.45,200,203.55,200,203.55,10214,,,,,
1/25/2000,203.55,214.9,218.9,189.05,200.6,106362,,,,,
1/27/2000,200.6,194.95,194.95,194.95,194.95,3547,,,,,
1/28/2000,194.95,210.55,210.55,210.55,210.55,36765,,,,,
1/31/2000,210.55,227.4,227.4,219,227.4,55785,,,,,
2/1/2000,227.4,245.45,245.6,211.1,230.6,158195,,,,,
2/2/2000,230.6,245,245,220.55,222,75199,,,,,
2/3/2000,222,215,218.9,204.25,207.4,74420,,,,,
2/4/2000,207.4,204.25,211,200,204,42796,,,,,
2/7/2000,204,201.55,202.8,190,191.65,47503,,,,,
2/8/2000,191.65,181.05,193,181.05,190,66230,,,,,
2/9/2000,190,184,190,178.2,180.05,63515,,,,,
2/10/2000,180.05,181,181,168,172.5,46478,,,,,
2/11/2000,172.5,166,174,166,171.15,31531,,,,,
2/14/2000,171.15,170.05,170.5,157.5,157.5,34929,,,,,
