Date,Prev Close,Open,High,Low,Close,Volume
1/3/2000,207.7,205,214.4,205,213.45,9600
1/4/2000,213.45,201.5,209.7,201,206.55,17900
1/5/2000,206.55,201,223.1,200.5,223.1,27000
1/6/2000,223.1,234,234.9,217.6,219.3,35600
1/7/2000,219.3,223,223,213,215.75,11400
1/10/2000,215.75,205,218,205,209.5,40000
1/11/2000,209.5,210,210,194,195.1,29200
1/12/2000,195.1,204.95,209.8,200,202.2,16700
1/13/2000,202.2,202,202.95,198,198.85,45000
1/14/2000,198.85,194.1,197,193.1,194.4,32600
1/17/2000,194.4,195,195.5,193.25,195,25500
1/18/2000,195,193.95,193.95,185.2,186.4,37300
1/19/2000,186.4,191,194,191,192.15,49600
1/20/2000,192.15,192,194.45,192,192.4,18100
1/21/2000,192.4,185,194,185,190.75,15800
1/24/2000,190.75,190,192.5,187,191.85,18400
1/25/2000,191.85,188.25,192,187,189.3,17600
1/27/2000,189.3,192.9,204.45,191,204.45,21500
1/28/2000,204.45,207,209.9,197,205.4,22500
1/31/2000,205.4,215,215,205.5,209.7,57900
2/1/2000,209.7,206,216.9,201.3,215.1,46200
2/2/2000,215.1,220,224.7,214,214.65,39700
2/3/2000,214.65,211.5,215,209.45,209.7,13000
2/4/2000,209.7,215,215,203.25,212.1,17400
2/7/2000,212.1,215.95,222,208,216.5,29700
2/8/2000,216.5,212.1,220,207,209.8,36200
2/9/2000,209.8,214.95,214.95,209.15,212.75,9000
2/10/2000,212.75,205,210,204,206.6,23000
2/11/2000,206.6,199.1,200.05,190.1,191.45,29600
2/14/2000,191.45,194.9,194.9,188,189.45,10200
2/15/2000,189.45,190,191.4,175.5,177.9,16700
2/16/2000,177.9,188,189.95,185.1,186.25,11600
2/17/2000,186.25,188.5,188.5,185,186.65,7500
2/18/2000,186.65,174.55,186.95,174.55,183.25,7800
2/21/2000,183.25,179.1,182.5,178,179.3,10800
2/22/2000,179.3,179.9,180,171,175.3,17500
2/23/2000,175.3,180,181,175,175,10300
2/24/2000,175,176,178.25,170.6,171.8,5100
2/25/2000,171.8,173.25,173.4,161.1,163.35,8300
2/28/2000,163.35,166,176.45,162.1,176.45,9800
2/29/2000,176.45,188,188.4,163,167.25,27600
3/1/2000,167.25,166.1,173.75,166.1,172.5,7300
3/2/2000,172.5,173.55,175,159,160.25,18100
3/3/2000,160.25,150,161.35,150,155.3,8800
3/6/2000,155.3,150,160,150,157.3,30000
3/7/2000,157.3,157,159.8,147.35,150.55,9600
3/8/2000,150.55,156.9,156.9,147,147.4,16900
3/9/2000,147.4,152,156,146,154,10000
3/10/2000,154,150,152,143,144.7,13100
3/13/2000,144.7,144.1,146.4,136.25,140.5,17700
3/14/2000,140.5,141,148,135.15,144,40400
3/15/2000,144,145.1,155,145.1,153.05,31893
3/16/2000,153.05,154,155,147.25,148.65,7522
3/21/2000,148.65,146,146.5,137.15,138.6,16046
3/22/2000,138.6,139,147.85,139,143.65,3665
3/23/2000,143.65,145,153.45,143.1,143.5,9807
3/24/2000,143.5,145.95,146,142,145.35,5174
3/27/2000,145.35,150,150,138.5,139.3,8546
3/28/2000,139.3,140,144.4,136,137.8,10677
3/29/2000,137.8,140,144.95,136,137.25,17010
3/30/2000,137.25,140,140,134.05,135.5,8995
3/31/2000,135.5,136,138,135.1,136.5,11031
4/3/2000,136.5,137.4,138,131.25,133.75,16776
4/4/2000,133.75,138,138,129,130.5,32946
4/5/2000,130.5,134,134,131.5,132.5,11191
4/6/2000,132.5,135,135,122,126,33171
4/7/2000,126,126.5,134,126,132.4,25391
4/10/2000,132.4,128,136.9,128,133,17230
4/11/2000,133,128,133,127.05,128.05,11250
4/12/2000,128.05,129,133,128,130.6,15620
4/13/2000,130.6,126,129.5,126,127.8,14826
4/17/2000,127.8,123,123,117.6,117.6,37715
4/18/2000,117.6,121,122,108.2,109.3,130123
4/19/2000,109.3,110,112.9,96.9,100.6,419436
4/20/2000,100.6,101.9,104.5,96.5,103.8,144888
4/24/2000,103.8,105,107.5,102.15,106.75,60995
4/25/2000,106.75,105,107.45,103,106.15,44402
4/26/2000,106.15,110,112.4,106,110.75,55940
4/27/2000,110.75,108.95,110,105,108.5,32586
4/28/2000,108.5,105.5,110,105.5,109.65,20847
5/2/2000,109.65,114,114,106,107.8,28277
5/3/2000,107.8,105.35,109,104.2,108.35,17210
5/4/2000,108.35,108.75,110.9,108,110.5,31382
5/5/2000,110.5,109.25,111.5,108.2,108.7,49435
5/8/2000,108.7,108.95,108.95,100,102.25,52022
5/9/2000,102.25,97,101.8,95.1,100.45,80573
5/10/2000,100.45,100.05,105.95,100,104.95,28284
5/11/2000,104.95,104,104.8,101,103.85,39610
5/12/2000,103.85,105.3,105.5,103.2,104.9,12267
5/15/2000,104.9,103.5,105,99,104.45,18239
5/16/2000,104.45,105,108,102.3,105.85,17692
5/17/2000,105.85,108.85,114.35,107.1,113.85,53412
5/18/2000,113.85,111.2,121.8,109.5,115.85,45949
5/19/2000,115.85,115.75,115.75,110,114.8,28836
5/22/2000,114.8,114,116,110.1,114.85,23345
5/23/2000,114.85,113.1,115,111.25,114.75,29418
5/24/2000,114.75,115,117.6,113.4,117.35,17429
5/25/2000,117.35,119.2,126,117.5,121.85,21812
5/26/2000,121.85,115.75,124.8,115.75,123.1,26559
5/29/2000,123.1,123.5,127.9,123.1,124.45,11319
5/30/2000,124.45,124.9,129,122.4,127.65,19198
5/31/2000,127.65,131,134.9,126,128.4,23973
6/1/2000,128.4,128.05,130,118.25,124.35,26996
6/2/2000,124.35,125,127.35,122.5,125.15,19970
6/5/2000,125.15,126,127,124.3,126.65,13705
6/6/2000,126.65,124.9,126.25,123.05,124.45,11423
6/7/2000,124.45,124,128.5,124,126.1,8126
6/8/2000,126.1,126.5,129.9,125.1,129.25,10320
6/9/2000,129.25,127.1,130,126.5,129.55,9133
6/12/2000,129.55,130.2,134.8,130,130.8,17205
6/13/2000,130.8,130,131.75,128.2,128.85,9064
6/14/2000,128.85,130.5,135,130,130.9,11422
6/15/2000,130.9,132,132,127.5,127.9,4565
6/16/2000,127.9,126,128.9,124,128.65,12474
6/19/2000,128.65,129.4,129.8,127,128.75,14320
6/20/2000,128.75,128,129.45,127.05,128.05,7866
6/21/2000,128.05,126.5,138.3,126.5,133,41909
6/22/2000,133,131,143.65,129,143.65,36489
6/23/2000,143.65,143,155.15,143,154.5,111496
6/26/2000,154.5,151.05,158,142.25,152.65,50168
6/27/2000,152.65,150,154,147.6,152.3,19996
6/28/2000,152.3,151,151,145,148.45,10674
6/29/2000,148.45,150,150,146,147.7,17467
6/30/2000,147.7,143.5,145,139.65,141.05,24539
7/3/2000,141.05,139,140.95,136.25,139.8,4627
7/4/2000,139.8,140,141.65,137.8,140.9,10955
7/5/2000,140.9,140.95,142.7,139,139.85,2946
7/6/2000,139.85,138.5,142.9,138.2,142.35,6101
7/7/2000,142.35,142.8,146.75,141.25,143.9,6386
7/10/2000,143.9,140.5,144.85,140.5,144.2,5533
7/11/2000,144.2,142.5,144.8,141.5,143.55,6632
7/12/2000,143.55,142.05,148,141.8,147.7,9155
7/13/2000,147.7,147,147,144,144.9,4400
7/14/2000,144.9,144.5,144.5,142.5,143.6,1720
7/17/2000,143.6,143.5,143.5,141,143,2612
7/18/2000,143,139,142.9,139,139.9,7262
7/19/2000,139.9,140.6,144.65,140.6,142.95,4351
7/20/2000,142.95,139,141,137,140.65,3952
7/21/2000,140.65,137.5,141.05,137.5,140.95,3635
7/24/2000,140.95,134.5,135,130.5,134.6,7078
7/25/2000,134.6,129,137.8,128,135.35,11355
7/26/2000,135.35,139.5,140,135,139.35,11304
7/27/2000,139.35,140,142.85,136.6,138.5,28897
7/28/2000,138.5,141,141,136.5,139.45,18717
7/31/2000,139.45,136.1,137.75,135,135.65,2170
8/1/2000,135.65,133.8,134,129.6,130,24847
8/2/2000,130,131,133,130.5,133,3066
8/3/2000,133,132,135,132,134.85,3376
8/4/2000,134.85,132,132,125.1,125.7,9205
8/7/2000,125.7,123,123.85,120,121.2,2370
8/8/2000,121.2,120,122,118.05,119.65,56739
8/9/2000,119.65,120,122,119.3,119.7,7660
8/10/2000,119.7,120.5,120.5,118,119.4,15950
8/11/2000,119.4,118.4,120,116,116.5,3434
8/14/2000,116.5,115,115.5,109.05,110.3,9760
8/16/2000,110.3,114,115,112.25,114.25,12361
8/17/2000,114.25,115,121.8,113.05,114.15,48400
8/18/2000,114.15,115.95,116.25,111,112.2,29831
8/21/2000,112.2,113,113.7,110.2,110.65,25727
8/22/2000,110.65,110.15,111.7,106,107.25,37286
8/23/2000,107.25,110.9,112.7,110,111.95,20384
8/24/2000,111.95,111.5,112.8,110,111.8,8621
8/25/2000,111.8,117,117,110.25,111.25,14017
8/28/2000,111.25,112.75,113.75,111,112.75,16984
8/29/2000,112.75,112.5,113.25,111.05,112,28666
8/30/2000,112,112,114.9,112,114.25,22381
8/31/2000,114.25,115,115.6,113,114.5,13995
9/4/2000,114.5,114.25,116,114,116,11595
9/5/2000,116,116,118.95,115.15,116.4,6721
9/6/2000,116.4,115.1,118,115.1,116.95,12886
9/7/2000,116.95,118.9,120.7,117,118.45,20589
9/8/2000,118.45,116,119.9,115,116.15,16844
9/11/2000,116.15,116.9,119.9,116.05,116.3,10619
9/12/2000,116.3,114.2,116.75,114.1,115.25,18883
9/13/2000,115.25,119,119,115.1,116.75,7651
9/14/2000,116.75,116,117,114.9,116.05,9338
9/15/2000,116.05,117.95,118,114.1,114.65,11152
9/18/2000,114.65,115,115,111,113.35,7188
9/19/2000,113.35,114.95,114.95,107.5,110.2,30458
9/20/2000,110.2,115.95,115.95,112.1,114.25,7020
9/21/2000,114.25,115.5,122,115,117.4,19177
9/22/2000,117.4,115,118.5,115,117.45,13338
9/25/2000,117.45,116.95,117,110,110.35,21992
9/26/2000,110.35,110.1,112,108.5,109,22550
9/27/2000,109,109.9,111.95,108.7,110.8,10077
9/28/2000,110.8,110.5,110.85,109,109.95,14932
9/29/2000,109.95,108.65,110.5,106.1,106.6,21333
10/3/2000,106.6,107,107.4,105.25,105.65,11762
10/4/2000,105.65,106.25,108.5,105.25,107.05,5671
10/5/2000,107.05,107,107,105.4,106,2271
10/6/2000,106,105,106.25,103.5,104.5,5701
10/9/2000,104.5,105,105.25,104,104.2,2732
10/10/2000,104.2,104.2,104.2,99.2,100.1,9039
10/11/2000,100.1,101.8,102.9,100.25,100.95,9024
10/12/2000,100.95,98.7,102.25,98.65,101.75,4302
10/13/2000,101.75,99.75,102,99.05,100.2,12918
10/16/2000,100.2,101,102.9,100,100.1,10829
10/17/2000,100.1,102,102,98.15,98.9,17439
10/18/2000,98.9,100,102.9,99.55,101.85,8975
10/19/2000,101.85,100.15,104,100,102.75,3664
10/20/2000,102.75,102,104,102,102.75,19364
10/23/2000,102.75,102,103.65,101.05,102.75,3139
10/24/2000,102.75,101.4,102.55,99.5,99.8,28414
10/25/2000,99.8,101.6,104.85,101,103.4,28064
10/26/2000,103.4,104,107.95,104,106.75,5703
10/27/2000,106.75,106.95,106.95,103.75,104.4,29962
10/30/2000,104.4,103.1,105,103,103.6,21510
10/31/2000,103.6,104.7,105,102.65,104.4,17253
11/1/2000,104.4,110,110,105.5,107.05,22975
11/2/2000,107.05,107.45,109.8,107.45,108.55,18804
11/3/2000,108.55,112,112.75,108.5,108.7,17650
11/6/2000,108.7,110,112.45,108.15,108.5,16232
11/7/2000,108.5,106.5,108.9,106,106.95,17302
11/8/2000,106.95,108,110.5,108,108.9,15039
11/9/2000,108.9,108,111.9,107,108.75,23851
11/10/2000,108.75,108.8,108.8,106.15,107.7,8973
11/13/2000,107.7,105,106.5,105,106.25,7042
11/14/2000,106.25,106,109.45,105,106.95,44658
11/15/2000,106.95,108,109.2,107,108.15,36023
11/16/2000,108.15,108,108.45,105.3,106.4,10431
11/17/2000,106.4,103.25,107.2,103.25,106,11463
11/20/2000,106,103.5,109.45,103.5,108.85,18544
11/21/2000,108.85,108,109.85,107.05,107.5,12432
11/22/2000,107.5,108,108.7,107.5,107.65,3000
11/23/2000,107.65,107.05,107.65,106,106.6,6228
11/24/2000,106.6,108,108,106.6,107.2,9196
11/27/2000,107.2,107.95,113.95,106.5,112,32868
11/28/2000,112,112,119.45,111.3,115.9,26917
11/29/2000,115.9,116.95,116.95,108,110.75,64921
11/30/2000,110.75,110.9,113.5,110.1,112.75,16404
12/1/2000,112.75,110.1,114,110.1,112.6,16334
12/4/2000,112.6,112,121.6,111.2,119.5,65865
12/5/2000,119.5,124.4,127.6,121,125.05,98812
12/6/2000,125.05,134,135,123,123.55,52072
12/7/2000,123.55,124,125.6,122,122.4,19221
12/8/2000,122.4,122.5,125.5,122.5,124.3,24629
12/11/2000,124.3,125.95,126.5,123,126,34826
12/12/2000,126,126.8,126.9,123.25,124.75,42924
12/13/2000,124.75,125.3,126.7,124,126.3,29348
12/14/2000,126.3,126.9,127.9,125,125.35,36373
12/15/2000,125.35,123.75,127.5,122,125.95,59524
12/18/2000,125.95,125,126,123,125.8,17021
12/19/2000,125.8,124.55,127,124.3,124.9,32826
12/20/2000,124.9,125.8,126.5,124.5,124.95,8544
12/21/2000,124.95,124,125.4,122.5,124.55,12656
12/22/2000,124.55,124.1,125.85,120.05,120.7,18965
12/26/2000,120.7,118,118.7,112.5,116.35,23807
12/27/2000,116.35,120.25,120.25,116.15,118.1,4410
12/28/2000,118.1,120,120.95,117.55,119.15,2463
12/29/2000,119.15,119.4,120,117,119.85,3320
1/1/2001,119.85,122.5,124.9,120,122.65,6093
1/2/2001,122.65,125.4,125.5,122,124.25,9414
1/3/2001,124.25,122.1,133.85,122,131.4,72450
1/4/2001,131.4,131.5,133.75,128.5,131.4,45292
1/5/2001,131.4,130,130.35,128,128.45,38315
1/8/2001,128.45,129.5,130,126.05,128.85,46966
1/9/2001,128.85,128,128,122.15,123.9,36278
1/10/2001,123.9,125.5,127.45,123.5,124.5,33968
1/11/2001,124.5,126,127.95,124.75,125.2,43462
1/12/2001,125.2,123.15,131.9,115.25,127.6,55342
1/15/2001,127.6,129.5,132.6,126.05,131.8,86230
1/16/2001,131.8,132.9,133.5,128.5,129.15,35108
1/17/2001,129.15,131.95,132.5,130.4,131.5,35543
1/18/2001,131.5,132,136,131.15,134.7,37023
1/19/2001,134.7,135,137.9,133.35,136.55,39625
1/22/2001,136.55,136,144,134.6,142.3,52457
1/23/2001,142.3,142.85,145.1,140.15,141.5,43496
1/24/2001,141.5,142.3,145.35,142.3,144.75,42505
1/25/2001,144.75,146.7,147.5,142.3,146.15,48623
1/29/2001,146.15,140.55,140.55,135,137.75,20570
1/30/2001,137.75,136.1,139,136.1,137.95,29790
1/31/2001,137.95,139,143.9,139,141.05,54817
2/1/2001,141.05,139,148,139,145.95,68597
2/2/2001,145.95,147.8,153,146.3,149.65,62657
2/5/2001,149.65,153,156,150,152.5,51029
2/6/2001,152.5,154,155,149.2,153.15,59455
2/7/2001,153.15,151,154.95,151,153.9,33530
2/8/2001,153.9,152.25,154.95,151.3,154.65,27601
2/9/2001,154.65,155,160,151,154.6,61738
2/12/2001,154.6,156.75,167,156.75,165.4,97153
2/13/2001,165.4,165.5,166.9,160.1,164.05,61962
2/14/2001,164.05,164,168,154.1,156.8,75605
2/15/2001,156.8,159.5,159.8,155.75,158,39425
2/16/2001,158,156.05,156.25,147,149.7,130869
2/19/2001,149.7,147.55,153,141.05,144.5,46693
2/20/2001,144.5,147,149.2,136.3,137.3,82315
2/21/2001,137.3,142,145.9,136,143.8,73940
2/22/2001,143.8,143,145,138.5,144.4,39791
2/23/2001,144.4,146,146,140,141.05,32735
2/26/2001,141.05,143.45,143.45,136.1,139.55,34163
2/27/2001,139.55,140.25,144,136.15,140.65,53724
2/28/2001,140.65,138,149.9,137,143.6,47663
3/1/2001,143.6,147.9,155.1,146,152.25,79219
3/2/2001,152.25,154.9,159,148.25,150.6,57838
3/5/2001,150.6,148,152,139.5,142.9,45470
3/7/2001,142.9,144.1,149,140.1,147.2,33557
3/8/2001,147.2,147.75,147.9,143.5,145.9,22420
3/9/2001,145.9,141,142.9,137,142,29564
3/12/2001,142,143,143,136.25,139.65,27230
3/13/2001,139.65,131,131,128.5,128.5,53391
3/14/2001,128.5,127.95,132,122,130.35,21658
3/15/2001,130.35,128.8,131.95,124.45,131.45,16438
3/16/2001,131.45,131.05,133.9,125.9,129,46775
3/19/2001,129,124.45,134,124,133.05,9309
3/20/2001,133.05,131.75,136.05,129.35,135.45,19039
3/21/2001,135.45,129.05,138,129.05,137.05,4487
3/22/2001,137.05,135.45,138,130,133.05,15490
3/23/2001,133.05,129,131,126.05,128.3,21596
3/26/2001,128.3,125,128.7,125,127.25,11249
3/27/2001,127.25,125.45,128.2,125.45,127.6,5793
3/28/2001,127.6,128.5,133.7,126,130.95,3457
3/29/2001,130.95,134.75,138,130.05,135.4,9585
3/30/2001,135.4,134,134,130.1,132.7,6602
4/2/2001,132.7,124.1,128,123.95,125.65,5741
4/3/2001,125.65,124,130,121,127.95,26859
4/4/2001,127.95,126,132.75,125,131.8,6687
4/6/2001,131.8,132,134.9,128,128.7,11851
4/9/2001,128.7,133,134.45,129.5,129.5,26311
4/10/2001,129.5,131.95,132.4,128.25,131,10452
4/11/2001,131,135.45,135.95,128,135.05,19903
4/12/2001,135.05,131.55,133.95,128.1,132.4,12448
4/16/2001,132.4,132,132,129.5,131.6,9709
4/17/2001,131.6,130.1,136.4,130.1,135.3,12201
4/18/2001,135.3,136.9,139.45,133.25,138.8,15378
4/19/2001,138.8,138.25,142.85,137,137.9,21601
4/20/2001,137.9,136.5,138.9,134.65,138.1,5156
4/23/2001,138.1,136,139.95,135,139.4,7008
4/24/2001,139.4,137,141,136.05,140.4,9978
4/25/2001,140.4,138.05,144,138.05,143.15,9320
4/26/2001,143.15,144.35,144.35,138.5,139.65,6636
4/27/2001,139.65,138.1,138.1,129,135.1,10590
4/30/2001,135.1,132,138.75,131.6,137.85,11491
5/2/2001,137.85,138.25,140.05,138.05,139.8,5967
5/3/2001,139.8,140,140,138,139.65,4036
5/4/2001,139.65,138,139.9,137.55,139.55,18259
5/7/2001,139.55,140,140,138.8,138.95,2274
5/8/2001,138.95,139,139.4,138.25,138.4,4758
5/9/2001,138.4,138.5,139.6,136.1,138.55,18090
5/10/2001,138.55,138,139.7,137,137.2,8774
5/11/2001,137.2,137.4,138.25,136.5,137.35,22928
5/14/2001,137.35,138,138,135.2,137.4,2761
5/15/2001,137.4,135,136,134,135.9,10663
5/16/2001,135.9,135.4,137,135,136.35,13955
5/17/2001,136.35,137,139,136.5,138.6,6917
5/18/2001,138.6,139,145,139,142.9,18762
5/21/2001,142.9,147,151.8,143.1,149.5,23851
5/22/2001,149.5,152.5,153.85,148,148.95,25701
5/23/2001,148.95,150,150.5,145,146.95,13792
5/24/2001,146.95,146.7,149,144.2,145.05,8861
5/25/2001,145.05,144.45,144.5,138.15,139.85,26525
5/28/2001,139.85,138.4,144.5,138.4,142.95,14550
5/29/2001,142.95,142.5,147.5,141,146.05,28432
5/30/2001,146.05,145.55,149,144.05,145.7,12245
5/31/2001,145.7,144.15,149.9,143.3,147.6,16657
6/1/2001,147.6,149.9,157,149.9,152.8,32589
6/4/2001,152.8,154.2,154.2,145,145.9,10687
