Date,Prev Close,Open,High,Low,Close,Volume
1/3/2000,201.6,207.4,217.25,207.4,216.75,676126
1/4/2000,216.75,217,219,206,208.2,679215
1/5/2000,208.2,194,217.8,194,213.25,1120951
1/6/2000,213.25,215,229.9,215,222.1,1968998
1/7/2000,222.1,224,239.9,223.1,239.9,2199431
1/10/2000,239.9,259,259.1,248,258.85,1720542
1/11/2000,258.85,260,260,238.15,238.15,1207916
1/12/2000,238.15,240,246,229,240.25,938579
1/13/2000,240.25,243,245,231.6,235.45,565754
1/14/2000,235.45,234.95,243,233,239.05,1024725
1/17/2000,239.05,242.95,258.1,242.95,250.65,1482994
1/18/2000,250.65,251,252.5,245.05,248,792347
1/19/2000,248,251,257.9,242.6,250.5,1221042
1/20/2000,250.5,250,250,233.6,235.7,557949
1/21/2000,235.7,230.1,233.8,225.5,232.2,696339
1/24/2000,232.2,230,235.9,213.65,213.65,1125168
1/25/2000,213.65,200.35,204.9,196.6,196.6,706121
1/27/2000,196.6,190,193,180.9,180.9,1728526
1/28/2000,180.9,171,182,168.35,175.2,2671887
1/31/2000,175.2,171.15,188.7,170.05,179.7,2850688
2/1/2000,179.7,179.9,184.9,172.1,175.3,1206216
2/2/2000,175.3,184,186.9,178.35,180.1,896220
2/3/2000,180.1,180,181.75,176.75,177.35,390462
2/4/2000,177.35,179,179.95,172.8,178.95,805045
2/7/2000,178.95,178.1,182.5,175.35,177.8,472973
2/8/2000,177.8,179,184.9,176.5,180.6,671633
2/9/2000,180.6,186,192,182,183.65,851000
2/10/2000,183.65,184.9,184.9,180,181.1,276973
2/11/2000,181.1,183.9,184.8,167.05,169.75,787181
2/14/2000,169.75,170,170,156.2,157.8,700837
2/15/2000,157.8,158.05,169,156,165.8,984192
2/16/2000,165.8,171.8,171.8,164.15,164.85,316694
2/17/2000,164.85,165,172,163.6,166.35,352975
2/18/2000,166.35,166,167,153.05,154.2,526451
2/21/2000,154.2,150,166.55,150,166.55,672967
2/22/2000,166.55,173.9,179.9,170.3,179.9,635878
2/23/2000,179.9,189.9,194,166.25,168.05,1254749
2/24/2000,168.05,170.9,174.9,165.95,170.25,469287
2/25/2000,170.25,174.45,183.9,166.55,182.9,892722
2/28/2000,182.9,184,184,174.1,181.05,651357
2/29/2000,181.05,180.05,183.4,166.6,166.6,835041
3/1/2000,166.6,167,172,154,157.6,1464975
3/2/2000,157.6,163,163.75,145.75,146.8,1313217
3/3/2000,146.8,137,141.9,135.1,135.1,1222358
3/6/2000,135.1,139.9,145.95,136.1,138.75,1705044
3/7/2000,138.75,130,139.6,130,132.1,1087675
3/8/2000,132.1,134,134.1,125,127.5,597334
3/9/2000,127.5,128,137.7,126.2,137.7,658855
3/10/2000,137.7,130,140,127.25,129.4,674480
3/13/2000,129.4,131.9,133.4,119.55,120.35,673380
3/14/2000,120.35,122.8,130,119.8,130,842598
3/15/2000,130,135,139.3,130,135.2,773900
3/16/2000,135.2,136,146.05,134,145.4,1108152
3/21/2000,145.4,143,153,135.25,149.55,1018963
3/22/2000,149.55,153,153.5,142.5,146.55,735518
3/23/2000,146.55,147,147.5,135.5,136.2,428079
3/24/2000,136.2,131.2,136.85,131.2,135.25,310258
3/27/2000,135.25,135,137.8,133.15,135.35,295252
3/28/2000,135.35,134.25,137,130.15,133.5,567466
3/29/2000,133.5,135.25,139.9,133,134.9,896538
3/30/2000,134.9,133.55,133.65,124.15,126.75,894430
3/31/2000,126.75,124.3,136.9,121.5,136.3,1010408
4/3/2000,136.3,138,145.9,135,142.7,1677659
4/4/2000,142.7,141,141,131.3,131.3,641572
4/5/2000,131.3,126.5,136,125.25,133.55,517712
4/6/2000,133.55,133.1,136,122.9,128.7,610757
4/7/2000,128.7,130.8,139,129,138.8,969387
4/10/2000,138.8,139,144.85,135.1,139.65,1220619
4/11/2000,139.65,137,141,132.2,137.95,548760
4/12/2000,137.95,140,140,134,135.25,465795
4/13/2000,135.25,128,134.95,124.5,129,877606
4/17/2000,129,127.1,136,119,131.8,1342054
4/18/2000,131.8,134.9,137,121.3,121.65,1333939
4/19/2000,121.65,124.95,127.8,116,124.55,1121766
4/20/2000,124.55,123.05,126,118,122.7,1020669
4/24/2000,122.7,124,130,122.5,125.7,797119
4/25/2000,125.7,124.05,128.4,120.05,127.45,978110
4/26/2000,127.45,128,135.5,124,133.95,1919932
4/27/2000,133.95,134,135,127.55,129.2,677783
4/28/2000,129.2,129.65,130.55,125.75,127.7,541772
5/2/2000,127.7,127,128.5,121.5,126.35,729748
5/3/2000,126.35,125,128.5,123,127.35,346349
5/4/2000,127.35,129,134.95,127.5,130.9,540965
5/5/2000,130.9,133,144.2,130.55,141.2,1247067
5/8/2000,141.2,144.7,152.5,139.25,144.5,1609904
5/9/2000,144.5,143,147.5,138.1,144.85,727928
5/10/2000,144.85,145.9,146.3,140.55,143.8,315753
5/11/2000,143.8,143,143,136.6,138.05,342190
