Date,Prev Close,Open,High,Low,Close,Volume,,,,,
8/25/2004,850,1198.7,1198.7,979,987.95,17116372,,,,,
8/26/2004,987.95,992,997,975.3,979,5055400,,,,,
8/27/2004,979,982.4,982.4,958.55,962.65,3830750,,,,,
8/30/2004,962.65,969.9,990,965,986.75,3058151,,,,,
8/31/2004,986.75,986.5,990,976,988.1,2649332,,,,,
9/1/2004,988.1,990,995,983.6,987.9,2491943,,,,,
9/2/2004,987.9,989.9,1004.6,986,993.65,2669544,,,,,
9/3/2004,993.65,1006,1100,990.35,997.85,1233732,,,,,
9/6/2004,997.85,1039.9,1039.9,992.9,994.85,1129834,,,,,
9/7/2004,994.85,1035,1035,995,995.6,721529,,,,,
9/8/2004,995.6,996,1000.8,991.1,993.7,824248,,,,,
9/9/2004,993.7,997,997.9,978.45,979.95,993398,,,,,
9/10/2004,979.95,990,990,976,988.8,801884,,,,,
9/13/2004,988.8,991,1015.5,991,1003.5,2613114,,,,,
9/14/2004,1003.5,1005,1018.8,1002.95,1015.65,1916934,,,,,
9/15/2004,1015.65,1018,1020,1001.2,1006.1,1498536,,,,,
9/16/2004,1006.1,1007,1015,1002.5,1008.45,919778,,,,,
9/17/2004,1008.45,1012,1029.9,1010.3,1024.5,1828487,,,,,
9/20/2004,1024.5,1032.4,1036.9,1020.15,1022.9,1069028,,,,,
9/21/2004,1022.9,1024.85,1048.5,1022,1045.8,1737135,,,,,
9/22/2004,1045.8,1048.4,1056,1037.1,1052.05,1921448,,,,,
9/23/2004,1052.05,1048,1049,1027,1030.25,1977460,,,,,
9/24/2004,1030.25,1029.1,1040,1026,1028.8,1010401,,,,,
9/27/2004,1028.8,1027.5,1032.5,1015,1020.75,1028689,,,,,
9/28/2004,1020.75,1016,1027.4,1012.5,1015.55,792427,,,,,
9/29/2004,1015.55,1019.25,1033,1016.15,1031,1467147,,,,,
9/30/2004,1031,1035.6,1040.9,1020.65,1027.1,1565179,,,,,
10/1/2004,1027.1,1029,1056.45,1026.35,1047.7,1371111,,,,,
10/4/2004,1047.7,1057,1081,1054.45,1076.5,1891228,,,,,
10/5/2004,1076.5,1080.3,1089,1075.5,1080.7,1792661,,,,,
10/6/2004,1080.7,1081,1102.8,1075.05,1081.6,2208833,,,,,
10/7/2004,1081.6,1083,1100,1083,1097.1,1260016,,,,,
10/8/2004,1097.1,1098,1111,1095,1098.05,1069865,,,,,
10/9/2004,1098.05,1099.9,1103.85,1094.25,1100.65,258539,,,,,
10/11/2004,1100.65,1100,1111.5,1085,1089.3,1166507,,,,,
10/12/2004,1089.3,1110,1115,1077.65,1084.45,1950064,,,,,
10/14/2004,1084.45,1103,1124,1088.05,1116.2,2403248,,,,,
10/15/2004,1116.2,1121.7,1141,1117.25,1126,2224968,,,,,
10/18/2004,1126,1134,1142,1125.25,1137.25,1711668,,,,,
10/19/2004,1137.25,1140.15,1148.7,1136.1,1143.2,1470891,,,,,
10/20/2004,1143.2,1144.8,1149.9,1129,1133.25,900854,,,,,
10/21/2004,1133.25,1137.25,1139,1122,1125.55,801690,,,,,
10/25/2004,1125.55,1125,1127,1110.75,1117.35,1173784,,,,,
10/26/2004,1117.35,1115.6,1140.95,1115.6,1137.2,866595,,,,,
10/27/2004,1137.2,1142.25,1148,1135.2,1139.9,979707,,,,,
10/28/2004,1139.9,1145,1174.8,1145,1165.95,2323927,,,,,
10/29/2004,1165.95,1167.95,1167.95,1145.15,1156.25,1082722,,,,,
11/1/2004,1156.25,1150,1174.45,1142.3,1170.65,767196,,,,,
11/2/2004,1170.65,1130,1179.75,1125,1159.7,1108005,,,,,
11/3/2004,1159.7,1161,1184,1161,1175.2,1122267,,,,,
11/4/2004,1175.2,1181.75,1187.9,1167.7,1170.4,819476,,,,,
11/5/2004,1170.4,1173.95,1180,1160,1165.45,627981,,,,,
11/8/2004,1165.45,1165,1188.9,1156,1184.15,1286466,,,,,
11/9/2004,1184.15,1187,1197.9,1177,1188.4,917339,,,,,
11/10/2004,1188.4,1191,1199,1190.1,1194.35,716799,,,,,
11/11/2004,1194.35,1199,1203.4,1191.1,1196.25,654391,,,,,
11/12/2004,1196.25,1204,1208,1190.2,1196.75,226676,,,,,
11/16/2004,1196.75,1198,1198,1184,1190.9,500688,,,,,
11/17/2004,1190.9,1191.5,1209.9,1191.5,1205.4,683492,,,,,
11/18/2004,1205.4,1209.45,1234.55,1206.5,1231,934016,,,,,
11/19/2004,1231,1233,1237,1211.1,1217.1,851595,,,,,
11/22/2004,1217.1,1207.8,1226,1195,1222.45,592284,,,,,
11/23/2004,1222.45,1230.6,1242,1224.15,1235.55,539099,,,,,
11/24/2004,1235.55,1239,1245,1230.15,1233.9,402913,,,,,
11/25/2004,1233.9,1234,1244,1208.65,1216.85,788859,,,,,
11/29/2004,1216.85,1216,1247.7,1205.55,1243.9,660186,,,,,
11/30/2004,1243.9,1248.15,1286,1245,1274.65,1313518,,,,,
12/1/2004,1274.65,1281,1281,1257,1261.55,1060233,,,,,
12/2/2004,1261.55,1265,1277,1239.1,1242.6,1207213,,,,,
12/3/2004,1242.6,1249.25,1255.9,1221.55,1236.75,1222152,,,,,
12/6/2004,1236.75,1240,1250,1208.5,1214.55,1434234,,,,,
12/7/2004,1214.55,1216,1232.9,1215,1218.25,982903,,,,,
12/8/2004,1218.25,1218,1226.6,1196.05,1200.8,916176,,,,,
12/9/2004,1200.8,1204.95,1217,1204.85,1211.45,475153,,,,,
12/10/2004,1211.45,1220,1235.5,1214,1225.65,777101,,,,,
12/13/2004,1225.65,1226,1241.65,1225.25,1236.15,624529,,,,,
12/14/2004,1236.15,1242,1244.7,1230.3,1233.15,385438,,,,,
12/15/2004,1233.15,1244,1254.75,1238,1245.5,721584,,,,,
12/16/2004,1245.5,1248.45,1265,1238,1262.65,543808,,,,,
12/17/2004,1262.65,1260,1274.8,1252.1,1256.5,688719,,,,,
