Date,Prev Close,Open,High,Low,Close,Volume
1/3/2000,2522.4,2724,2724.2,2724,2724.2,1599
1/4/2000,2724.2,2942.15,2942.15,2942.15,2942.15,4392
1/5/2000,2942.15,2942.15,3177.55,2715,2990.1,132297
1/6/2000,2990.1,3144.7,3183,2790,2932.25,72840
1/7/2000,2932.25,2751,2751,2697.7,2697.7,10110
1/10/2000,2697.7,2697.7,2913.5,2612,2701.35,40382
1/11/2000,2701.35,2734,2789,2485.25,2485.45,46178
1/12/2000,2485.45,2590,2608,2485,2562.9,20037
1/13/2000,2562.9,2574,2620,2460,2480.25,19080
1/14/2000,2480.25,2590,2590,2405,2497.85,20412
1/17/2000,2497.85,2580,2697.7,2550,2697.7,27984
1/18/2000,2697.7,2740,2850,2600,2677.15,32443
1/19/2000,2677.15,2725,2848,2725,2784.5,33586
1/20/2000,2784.5,2808,2834.95,2775,2796.4,21511
1/21/2000,2796.4,2825,3020.15,2750,2989.7,145195
1/24/2000,2989.7,3151,3228.9,3151,3228.9,20562
1/25/2000,3228.9,3487.25,3487.25,3487.2,3487.25,34893
1/27/2000,3487.25,3766.25,3766.25,3766.25,3766.25,1618
1/28/2000,3766.25,4067.55,4067.55,4067.55,4067.55,3007
1/31/2000,4067.55,4067.55,4240,3742.15,3805,73387
2/1/2000,3805,3995,4109.4,3960,4109.4,49750
2/2/2000,4109.4,4438.15,4438.15,4438.15,4438.15,2235
2/3/2000,4438.15,4793.2,4793.2,4750,4793.2,8597
2/4/2000,4793.2,5169,5176.7,5005,5176.7,57609
2/7/2000,5176.7,5339,5494,5074,5259.15,42768
2/8/2000,5259.15,5289,5400,4839,4868.05,37484
2/9/2000,4868.05,5099,5257.5,5050,5209.5,38282
2/10/2000,5209.5,5200,5626.3,5105,5626.3,76550
2/11/2000,5626.3,6067,6076.4,5700,6076.4,62249
2/14/2000,6076.4,6250,6562.55,6000,6562.55,67076
2/15/2000,6562.55,6899,7087.55,6100,7087.55,56752
2/16/2000,7087.55,7269,7654.55,7260,7654.55,24633
2/17/2000,7654.55,8262.85,8266.95,8262.85,8266.95,14273
2/18/2000,8266.95,8928.35,8928.35,8928.35,8928.35,9348
2/21/2000,8928.35,9625,9642.65,8928.35,9587.45,181968
2/22/2000,9587.45,10350,10350,8820.45,8820.45,49915
2/23/2000,8820.45,8500,8500,8114.85,8114.85,9230
2/24/2000,8114.85,7471,7471,7465.7,7465.7,3173
2/25/2000,7465.7,6868.5,7100,6868.45,6868.45,85069
2/28/2000,6868.45,6868.45,7190,6319,6994.45,154212
2/29/2000,6994.45,7090,7400,6434.9,6616.75,137566
3/1/2000,6616.75,7128,7146.1,6700,7144.4,125683
3/2/2000,7144.4,7499,7700,7200,7495.85,180524
3/3/2000,7495.85,7090,7100,6896.2,6896.2,42970
3/6/2000,6896.2,6996,7369.45,6365,6938.8,76163
3/7/2000,6938.8,6850,6900,6425,6473.15,65712
3/8/2000,6473.15,6888.5,6991,6600,6761.95,38816
3/9/2000,6761.95,6840,6999,6252.1,6433.85,21193
3/10/2000,6433.85,6500,6945,6260,6342.25,44445
3/13/2000,6342.25,6500,6725,5834.9,5834.9,32037
3/14/2000,5834.9,5902,6000,5368.15,5368.15,31939
3/15/2000,5368.15,4938.7,5100,4938.7,4938.7,86167
3/16/2000,4938.7,4610,5100,4543.6,4596.2,159103
3/21/2000,4596.2,4650,4849,4228.5,4245,123917
3/22/2000,4245,4400,4584.6,4400,4584.6,16531
3/23/2000,4584.6,4949,4951.4,4679.15,4951.4,130051
3/24/2000,4951.4,5230,5347.55,4975,5347.55,144387
3/27/2000,5347.55,5525,5775.35,5280,5775.35,72756
3/28/2000,5775.35,5710,6237.4,5630.1,6117.7,127133
3/29/2000,6117.7,6290,6607.15,6290,6607.15,138283
3/30/2000,6607.15,6607.15,6607.15,6078.6,6078.6,66219
3/31/2000,6078.6,5620,5940,5592.35,5592.35,91758
4/3/2000,5592.35,5600,5650,5145,5145,51954
4/4/2000,5145,4733.4,4733.4,4733.4,4733.4,20729
4/5/2000,4733.4,4361,5100,4361,4780.85,93881
4/6/2000,4780.85,4870,5160,4398.4,4883.85,119248
4/7/2000,4883.85,5000,5274.6,5000,5274.6,36168
4/10/2000,5274.6,5696.6,5696.6,5696.6,5696.6,6383
4/11/2000,5696.6,5696.6,5924,5240.9,5627.95,103114
4/12/2000,5627.95,5540,5590,5301,5413.8,55520
4/13/2000,5413.8,5325.05,5325.05,4980.7,4980.7,46634
4/17/2000,4980.7,4582.25,4582.25,4582.25,4582.25,1003
4/18/2000,4582.25,4582.25,4590,4215.7,4215.7,50976
4/19/2000,4215.7,4540,4540,3878.45,3995.6,92012
4/20/2000,3995.6,3700,4225,3675.95,4095.95,95193
4/24/2000,4095.95,4150,4420,3911,4087.95,120700
4/25/2000,4087.95,3900,3900,3760.95,3760.95,24016
4/26/2000,3760.95,3980,4061.85,3851,3995.35,195340
4/27/2000,3995.35,4038,4038,3675.75,3675.75,108336
4/28/2000,3675.75,3461,3529,3381.7,3381.7,42230
5/2/2000,3381.7,3249,3249,2975.9,2975.9,23382
5/3/2000,2975.9,2737.85,2825,2618.8,2639.85,159004
5/4/2000,2639.85,2694,2956.65,2621,2943.3,111159
5/5/2000,2943.3,3050,3290,3025.1,3268.35,171283
5/8/2000,3268.35,3399,3529,2876.15,2878.1,143795
5/9/2000,2878.1,2702.2,2980,2647.85,2945.3,145498
5/10/2000,2945.3,3040,3040,2795,2854.9,206886
5/11/2000,2854.9,2750,2750,2512.35,2540.4,221589
5/12/2000,2540.4,2599,2719,2377,2427.1,206222
5/15/2000,2427.1,2350.05,2621.25,2135.85,2460.15,266380
5/16/2000,2460.15,2488,2530,2400,2440.8,102299
5/17/2000,2440.8,2494,2620,2300,2350.1,178143
5/18/2000,2350.1,2301,2310,2068.1,2068.1,347722
5/19/2000,2068.1,1902.65,2079,1819.95,1999.65,841651
5/22/2000,1999.65,1921,1970,1761.1,1787.1,311929
5/23/2000,1787.1,1760,1860,1680.25,1830.05,390814
5/24/2000,1830.05,1789.9,1848,1711,1817.05,250215
5/25/2000,1817.05,1850,1924.95,1782,1812.6,209540
5/26/2000,1812.6,1799.9,1799.9,1595.1,1610.7,282196
5/29/2000,1610.7,1580,1725,1481.85,1671.4,303977
5/30/2000,1671.4,1699,1760,1653,1722.15,206371
5/31/2000,1722.15,1850,1928.8,1810,1867.85,379626
6/1/2000,1867.85,1835,1835,1740,1756.7,205611
6/2/2000,1756.7,1805,1915,1801,1889.85,349624
6/5/2000,1889.85,1923,2116.65,1923,2061.85,513072
6/6/2000,2061.85,2188,2309.3,2066.65,2296.2,443000
