Date,Prev Close,Open,High,Low,Close,Volume
1/3/2000,1092.55,1175,1179.95,1160,1179.95,1261391
1/4/2000,1179.95,1220,1274.35,1183.1,1260.65,4616547
1/5/2000,1260.65,1160.55,1317.7,1159.8,1176.55,8763127
1/6/2000,1176.55,1195,1200,1095,1115.45,5164020
1/7/2000,1115.45,1097.1,1097.1,1026.25,1026.25,755129
1/10/2000,1026.25,1026.25,1026.25,944.3,966.7,3942813
1/11/2000,966.7,985,1044,891,1019.95,6802005
1/12/2000,1019.95,1035,1088,1035,1063.85,2968833
1/13/2000,1063.85,1073,1085,1012.7,1023.1,2251046
1/14/2000,1023.1,1030,1034.75,980.7,1001.85,2949092
1/17/2000,1001.85,1022,1054.9,1011.1,1042.35,3526666
1/18/2000,1042.35,1034,1039,1001,1009.3,2754298
1/19/2000,1009.3,1040,1090.05,1040,1090.05,2048407
1/20/2000,1090.05,1139.9,1177.25,1125,1149.15,5125365
1/21/2000,1149.15,1149,1183.8,1135,1176.85,4048147
1/24/2000,1176.85,1187.7,1241,1187.7,1223.15,3969446
1/25/2000,1223.15,1230,1235,1185,1209,3647707
1/27/2000,1209,1250,1268.5,1211.1,1221.1,3682939
1/28/2000,1221.1,1211.05,1296.35,1202.8,1286.9,5400401
1/31/2000,1286.9,1285,1294.9,1197,1213.1,4113157
2/1/2000,1213.1,1220,1250,1213.1,1226.65,3722293
2/2/2000,1226.65,1265,1299,1240,1252.55,5414633
2/3/2000,1252.55,1254.9,1352.75,1254.9,1351.35,7114463
2/4/2000,1351.35,1389.9,1418.7,1331.65,1341.8,4208405
2/7/2000,1341.8,1351,1364.4,1291.1,1305.8,2996084
2/8/2000,1305.8,1310,1381.7,1310,1335.7,6200928
2/9/2000,1335.7,1361,1397,1314.8,1326.15,3569244
2/10/2000,1326.15,1310.05,1368,1310.05,1339.35,3059468
2/11/2000,1339.35,1350,1398,1347,1359.95,3646822
2/14/2000,1359.95,1331,1416,1301,1391.9,5347820
2/15/2000,1391.9,1393,1416,1332.05,1343.85,4219963
